a 1,نهايت اعليٰ ـ بهترين
a-bomb,جوهري بم
a,انگريزي حروف تحجي کا پهلا حرف
aardvark,جنوبي افريقه کا سور کي قسم کا مور خور جانور
aardwolf,جنوبي افريقه کا لگڑ بگڑ کي قسم کا گوشت خور جانور
aaronic,حضرت هارون کے متعلق جو يهود کے مفتي اعظم تھے يا ان کے عهد امامت کے متعلق
aasvogel,جنوبي افريقي گدھ ـ کرگس
ab,پانچواں کليساهي اور گيارهواں موسوي مهينه
aback,وه حالت جب هوا کے دباؤ سے باديان مستول سے چمٹ جاتے هيں اور جهاز آگے نڑھنے سے روکتے هيں پست کے جانب ـ پيچھے کو
abacus,بال فريم ـ گنتارا ـ ايک چوکھٹا جس ميں تاروں پر گولياں هوتي هيں ـ گنتي سکھانے کا آله ـ شمار آموز
abaddon,دوزخ ـ جهنم ـ ابليس
abaft,جهاز کے پچھلے حصے کي طرف ـ سکان رخ
abandon,چھوڑ دينا ـ هاتھ أٹھانا ـ دست بردار هونا ـ دست کشي کرنا ـ دعوي چھوڑ بيٹھنا
abandoned,آواره ـ بدمعاش
abandonment,ترک ـ دست کشي ـ تياگ ـ دست برداري
abase,ذليل کرنا ـ بے عزت کرنا ـ خفيف کرنا
abasement,ذلت ـ خواري ـ بے قدري ـ تحقير ـ خفت
abash,شرمنده هونا ـ شرمشار کرنا ـ خجل کرنا ـ شرمانا ـ پاني پاني هونا
abashment,خجالت ـ شرمندگي ـ شرمساري ـ شرم
abate,کم کرنا ـ تخفيف کرنا ـ کم هونا ـ مدھم پڑھنا
abatedarms,وه تلواريں يا نيزے جو کند هونے کي وجه سے معرکه آراهي کے قابل نه هونا
abatement,کمي ـ گتھاؤ ـ تخفيف ـ کٹوتي
abatis,درختوں کو گرا کر ايسا مورچه بنانا که شاخوں کا رخ دشمن کے جانب هو تاکه دشمن فوجي نقل و حرکت کا پته نه چل سکے
abattoir,مسلخ ـ مذبح
abb,جولاهے کا تانا بانا
abba,والد ـ ابا ـ آسماني باپ
abbacy,صاحب خانقاه يا دير کا منصب يا زمانه توليت
abbe,فرانسيسي شهري جن کو مذھبي لباس پهننے کا حق ھو ليکن اس کے ذمے کوهي فرض منصبي نه ھو
abbesses,راهبه ـ راهبات کي افسر اعلي
abbey,خانقا ـ دير ـ کليسا ـ گرجا
abbreviate,اختصار کرنا ـ خلاصه کرنا ـ چھوٹا کرنا
abbreviation,اختصار ـ کمي
abderian,يونان کے شهرابديرا کے باشنده
abdicate,تخت چھوڑنا ـ دست بردار هونا ـ حق چھوڑ بيٹھنا ـ علهده هونا
abdication,دست برداري ـ علهيدگي
abdomen,شکم ـ پيٹ ـ کيڑے مکوڑوں کا پچھلا حصه
abdominal,پيٹ کا ـ معده کا ـ يکم کا
abdominous,بڑے پيٹ والا ـ موتا ـ توندل
abduct,اغواه کرنا ـ بھگا لے جانا ـ کسي عضو کا اسکے فطري مقام سے کھينچنا يا بڑھانا
abduction,اغواه ـ قياس احتمالي ـ زخم کے کناروں کي سکڑن
abductor,مغوي ـ اغواه کرنے والا ـ زخم کو سکيڑنے والي نس
abeam,عرضا ـ جهاز کے طول سے زاويه قاهمه بناتے هوے
abed,بستر پر ـ پلنگ پر ـ سوتا هوا
abele,سفيده درخت
aberate,بھٹکانا ـ گمراه هونا
aberrance,گمراهي ـ فساد
aberration,چوک ـ کجروي ـ مغالطه ـ قاعده کي خلاف ورزي ـ خلل دماغ
abet,اعانت کرنا ـ مدد کرنا
abetment,ارتکاب جرم ميں اعانت کرنا
abetter,معاون جرم ـ مددگار جرم
abeyance,التوا ـ تعطل
abhor,نفرت ـ کراھت ـ حقارت سے ديکھنا ـ گھن کرنا
abhorrence,نفرت ـ کراھت ـ چڑ ـ حقارت
abhorrent,مکروه ـ گھناؤنا ـ قابل نفرت
abhorrer,نفرت کرنے والا
abide,موسوي سال کا پھلا مهينه ـ بنا رهنا ـ برقرار رھنا ـ ناقي رهنا ـ مستقل رهنا ـ برداشت کرنا ـ ضبط کرنا ـ تسليم کرنا
abiding,پائدار ـ دوامي ـ مستقل ـ ديرپا
abidingly,دواما ـ مستقل طور پر
abigail,خواص ـ پيش خدمت ـ نوکراني
ability,قابليت ـ صلاحيت ـ قوت ـ اختيار ـ مقدور
abintestate,کسي مرنے والے کي وراثت حاصل کرنا جو بلا وصيت انتقال کر گيا هو
abiogenesis,بے جان مادے سے جاندار کا پيدا هونا ـ خود بخود پيدا هونا
abiogenist,خود زاني کا عقيده رکھنے والا
abject,کمينه ـ ذليل ـ پست
abjection,تذليل ـ تحقير ـ کمينگي
abjectly,کمينگي سے ـ رذالت سے ـ فرومانگي سے
abjectness,ذلت خواري ـ کمينه پن ـ رذالت
abjuration,سوگند ـ حليفه دست برداري ـ دعوي سے دست بردار ھونا
abjure,حلف پر دست بردار هونا ـ توبه کرنا ـ ترک وطن وحلف پر دست بردار هونا ـ ترک وطن هونے کي قسم کھانا
ablactation,دودھ بڑھاهي ـ دودھ چھٹاهي
ablation,علحيدگي کرنا ـ کاٹنا ـ نکالنا
ablative,مفعول له ـ اسم کي اخراجي حالت
ablaut,انڈو يورپي زبان ميں لب و لهجه کے فرق کي وجه سے حرف علت ميں تبديلي
ablaze,جلتا هوا ـ فروزاں ـ دھکتا هوا ـ بھڑکتا هوا ـ مشغل
able-bodied,مضبوط جسم والي ـ قوي
able,قابل ـ لاهق ـ هوشيار ـ صلاحيت والا
abloom,پربھار ـ شگفته ـ شاداب ـ جوبن پر
ablution,طهارت ـ وضو ـ غسل
ablutionary,طهارت ـ غسل يا وضو کے متعلق
abnegate,ترک کرنا ـ نفس کشي کرنا ـ پرهيز کرنا
abnegation,ترک شے ـ نفس کشي ـ انکار ـ دست کشي
abnormal,بے قاعده ـ خلاف معمول
abnormality,خلاف معمول واقعه ـ غير معمولي پن
abnormally,خلاف معمول طريقه پر
abnormity,عجيب و غريب ـ وحشت انگيز
aboard,جهاز پر ـ کشتي ـ ريل پر
abode,رهنے کي جگه ـ مسکن ـ مکان
aboil,ابلتا هوا ـ کھولتا هوا
abolish,موقوف کرنا ـ منسوخ کرنا ـ توڑ دينا رسم و رواج وغيره کو
abolishable,قابل ترک ـ موقوف کرنے کے قابل
abolition,تنسيخ ـ موقوفي ـ انسداد ـ استرداد
abolitionist,انسداد غلامي کا حامي
abominable,مکروه ـقابل نفرتـ حقير ـنفرت انگيز
abominableness,مکروه پن ـ نفرت انگيزيـ
abominably,حقيرانه ـ رذيلانهـ قابل نفرت طور پرـ
abominate,نفرت کرناـ کراهت کرناـ حقير
abomination,نفرت ـ حقارت ـ کراهت
aboriginal,اصل ـ قديم ـ پهلے کي باشنده ـ قديم رهنے والاـ
aborigine,قديم يا اصلي باشندے ـ جنگلي باشنديـ
abort,اسقاط حمل هوناـ حمل گر جاناـ اده کچا ره جانا
abortion,پيٹ گر جاناـ کچا بچه پيدا هوناـ حمل گر جاناـ اسقاط هوناـ
abortionist,حمل گرانے والاـ اسقاط گرانے والاـ
abortive,ناکام ـ لاحاصل ـ ناقص
abortively,بے سودـ خام کارنامهـ کچے پن سے
abortiveness,ناکاميـ افسردگي ـ خامي ـ مرجھائٹ
abound,بھر پور هوناـ بهت هوناـ وافر هونا ـ کثرت سے هونا
about,چاروں طرف ـ کسي مرکز کے قريب
above,اونچاـ اوپر ـ بلندـ بالاترـ دور ـ باهر
aboveall,اول ـ مقدمـ سب سے زياده
aboveboard,پاک صاف ـ کھلم کھلاـ سب کے سامنے ـ کھرا کھرا
aboveground,زمين پرـ بقيد حتاتـ زنده
abovemeasure,ناپ سے زائدـ بے اندازه
abovepar,اوسط سے زيادهـ مساوات کے اوپر
abovestairs,زينه کے اوپرـ بلا خانے پر
abracadabra,جادو ـ منتر ـ ٹوناـ تعويزـ
abrade,رگڑنا ـ گھسناـ چھيلناـ کھرچناـ رگڑنا
abranchial,گلپھڑے کے بغير
abrasion,رگڑـ رگڑاـ خراشـ کھرچ
abreast,هم قديم ـ دوش بدوشـ پهلو نه پهلو
abridge,خلاصه کرنا ـ مختصر کرنا ـ گھٹانا
abridgement,خلاصه ـ ملخصـ لب لباب
abroad,دور درازـ سب طرف پھيلا هواـ پرديس ميں ـ غير ملک ميں
abrogate,منسوخ کرناـ توڑناـ ترک کرناـ فسخ کرنا
abrogation,ترکـ موقوفيـ فسخـ تنسيخ
abrupt,ايکاايکيـ اچانکـ بے ربطـ بے جوڑ
abruption,ايکاايکـ عليحدگي ـ پھٹ پڑناـ جھڑ پڑنا
abruptly,ايکا ايکيـ ناگهاني طور پر
abscess,پھوڑاـ دنيلـ جسم ميں کهيں پيپ پڑ جاناـ
abscind,چيڑنا پھاڑناـ کاٹ ڈالنا
abscission,عمل جراحي ـ چير پھاڑ
abscond,بھاگ جانا ـ فرار هوناـ روپوش هو جانا
abscondence,روپوشيـ گرفتاري سے بچنے کيليے فرار
absconder,فراريـ مفرور
absence,غير حاضريـ علم موجودگيـ پيچھے ـ جدائيـ فقدانـ فراق
absent,غير حاضرـ غير موجودـ غائب ـ غافلـ کھويا هوا
absentee,غير حاضر شخصـ وقت پر غائب هونے والا
absently,منتشر خيالي سے ـ پراگندگي سے
absentminded,کھويا هواـ بے خيال ـ پرا گنده دماغ
absentmindedly,بے خيالي سيـ پرا گنده خيالي سے
absentmindednes,انتشار ذهنيـ پرشان خيالي
absinth,افسنتينـ اجسنتيني شراب
absolute,غير مشروط ـ واجب الوجودـ کامل ـ مطلق
absolutely,بلاقيد يا شرطـ بالکلـ سراسرـ البته
absolution,رهائيـ خلاصيـ چھٹکاراـ مغفرتـ نجات
absolutism,يه عقيده که نجات کے بارے ميں خدا مالک هے
absolutist,استبدادي حکومت کا حاميـ استبدار پسند
absolve,بري کرنا ـ چھوڑناـ رها کرناـ بخشنا ـ بے گناه قرار دينا
absonant,غير معقول ـ بے محل ـ نے سر
absorb,جذب کر ليناـ چوسنا
absorbability,جذب هونے کي قابليت
absorbable,انجذاب پذيرـ جذب هونے کے قابل
absorbent,چوسنے والاـ جاذب
absorbing,دلچسپ ـ منهمک رکھنے والاـ دلکش
absorption,عمل انجذابـ جذبـ مشغوليت
absorptive,چوشنے والاـ کھينچنے والا
absorptiveness,کھينچنے چوسنے والا
abstain,باز رهناـ الگ رهناـ پرهيز کرناـ اجتناب کرنا
abstainer,پرهيز کرنے والاـ احتراز کرنے والا
abstemious,محتاط کھانے پينے ميں ـ متقيـ روکھي
abstemiously,پرهيز گارانهـ محتاط طريقے سے
abstemiousness,پرهيز گاريـ احتياط
abstention,لذت سے پرهيزـ اجتنابـ بچتے رهنا
absterge,صاف کرناـ دھوناـ ميل نکالنا
abstergent,صاف کرنے والاـ ميل نکالنے والا
abstersion,دھلائيـ صفائي
abstinence,پرهيزگاريـ نفس کشيـ احتراز
abstinent,زاهد ـ کم خورـ محتاطـ پرهيزگار
abstinently,پرهيزگاري کے ساتھ ـ متقيانه
abstract,خلاصه کرناـ مختصر کرناـ جدا کرناـ چھپا رکھنا
abstracted,غافل ـ ڈوبتاهواـ غرق ـ محو
abstractedly,دھن ميں ـ انهماک ميںـمحويت کے عالم ميں
abstracter,الگ کرنے والاـ جدا کرنے والاـ چھپانے والا
abstraction,عليحدگيـ انگ کرناـسرقه ـ بے خياليـ استغراق
abstractness,انهماکـ دھنـ محويت
abstruse,کٹھنـ مشکلـ دقيقـ پيچيده
abstrusely,مشکل سيـ دقت سے
abstruseness,دقت ـ پيچد گيـ باريکيـ مشکل
absurd,نامعقولـ بے هودهـ لغو
absurdity,بيهودگيـ لغويتـ خرافات
absurdly,بے سروپا طور پرـ احماقانه
abundance,بهتابـ افراطـ زيادتيـ کثرت
abundant,بهت ساـ کثير ـ وافر ـ زياده
abundantly,کثرت سيـ افراط سے
abuse,بد سلوکي کرناـ گالي ديناـ ناجائز فاهده اٹھانا
abusive,منه پھٹـ بد زبان ـ بے لگام آبرو ريز
abusiveness,بدلگاميـ بدزبانيـ ديانام دهي
abut,هم سرحد هوناـ ملا هوا هونا
abutment,پايه ستون ـ جس پر کوئي محراب نه هو
abutter,جائداد متصله کا مالک جس کو حق شفع حاصل هو
abysmal,بے انتها گهراـ عميق ـ اتھاه
abyss,غار ـ بهت گهري کھائي
abyssal,گهرے سمندر کے جاندار ـ بے اندازه گهرا
abyssinia,ملک حبش کا باشندهـ حبشي
abyssinian,ملک حبش کا باشندهـ حبشي
acacia,کيکرـ ببول
academic,قديم افلاطوني فلسفه کا هيرو
academical,جامعه ـ کالجـ علمي اداره
academician,مجلس علمي کي رکن
academy,افلاطوني کا مدرسه ـ درسگاهـ جامعه
acadin,امريکه کا باشنده
acanthus,ايک قسم کا خادار درختـ ايسے درختوں کي پتيوں کے نقش و نگار کي نقل يوناني عمارتوں پر کي جاتي تھي
acardiac,بے قلب ـ دل کا نه هونا
acarpous,بے ثمر ـ جس ميں پھل نه هو
acatalectic,غير محذوف ـ سالم بحر
acatalepsy,دشواري ـ ناقابل فهم هونا
acataleptic,جو يه سمجھے که م کچھ نهيں جانتے اور جو جانتے هيں وه بھي درست نهيں ـ ارتيابي
acaulescent,بعيد از فهم ـ خارج يز عقل بے تنا
accede,منظور کرنا ـ قبول کرنا ـ راضي هونا
accelerate,جلدي کرنا ـ تيز کرنا ـ رفتار بڑھانا
acceleration,تيزي ـ تيز رفتاري
accelerative,تيز کرنے والا ـ رفتار بڑھانے والا
accelerator,مسرع ـ رفتار تيز کينے والا آله
accent,لهجه ـ تلفظ ـ دباؤ ـ آوار کا اتار چڑھاؤ
accentor,ايک قسم کي چھوٹي چڑھا ـ گوريا
accentual,آواز کے اتار چڑھاؤ کے متعلق ـ لب و لهجه کے متعلق
accentually,تاکيد کے طور پر
accentuate,زور دار لهجے ميں ادا کرنا ـ تلفط پورے دباؤ سے ادا کرنا
accentuation,کسي حرف پر پورا دباؤ ـ تاکيد ـ زور
accept,قبول کرنا ـ منظور کرنا ـ راضي هونا ـ لے لينا ـ مهرباني کرنا
acceptability,قبوليت ـ پسنديدگي ـ منظوري
acceptable,قابل منظوري
acceptableness,قبوليت ـ پسنديدگي
acceptance,پسند ـ منظوري ـ رضا مندي
acceptation,عرف عام کے مطابق معني ـ عام معني
acceptedly,مسلمه طور پر
accepter,قبول کرنے والا
acceptor,سکھاريا ـ قبول کرنے والا
access,رساهي ـ گزر ـ وسيله ـ سبيل ـ آمدورفت ـ پينچ
accessary,راز دار مابعد واقعه
accessible,پهنچ سکنے کے قابل ـ رساهي کے قابل
accession,تخت نشيني ـ جلوس تاجپوشي ـ بڑهوتي ـ اضافه ـ افزائش
accessory,ساتھي ـ شريک ـ راز دار
accidence,تصريف ـ گردان
accident,ناگهاني واقعه ـ واردات ـ حادثه ـ غير ارادي فعل
accidental,ناگهاني ـ اتفاقي  ـ غير متوقع ـ هنگامي
accidentally,غير متوقع طور پر ـ اچانک ـ يکايک
accipiter,شکره ـ شاهين
accipitral,عقاني ـ دوربين ـ خونخوار
acclaim,نعره هاهے مسرت بلند کرنا ـ خوشي ميں تالياں بجانا ـ خوش آمديد کهنا
acclamation,مديحه ادستقبالي ـ پرجوش تائيد
acclimatation,آب و هوا کا راس آنا
acclimate,جانور انسان يا درخت کو نئي آب و هوا کا راس آنا
acclimatization,موافقت آب و هوا ـ هوا کے موافق هو جانا
acclimatize,آب و هوا کے موافق هو جانا
acclivity,پهاڑ کي چڑھائي ـ ارتفاع ـ بلندي
accolade,وه رسم جو خطاب ديتے وقت بادشاه ادا کرتا هے مثلا بوسا دينا يا آڑي تلوار کندھے پر کھنا
accommodate,موافق کرنا ـ مطابق کرنا ـ ٹھرانا ـ عنايت کرنا
accommodating,مان لينے والا ـ صلح جو ـ بامروت ـ نرم طبيعت
accommodatingly,صلح پسندانه ـ مصالحانه
accommodation,جگه ـ گنجاهش  ـ ٹھرنے کي جگه ـ ميل ـ يک رنگي ـ مطابقت ـ صفاهي ـ تصفيه ـ سمجھوتا ـ اسباب
accompaniment,ضميمه ـ رفاقت ـ سنجوگ ـ لوازمه ـ گائے کے ساتھ کا ساز
accompanist,سرملانے والا ـ گانے کے مطانق ساز بجانے والا
accompany,ساتھ هونا ـ هم سفر هونا ـ سر ملانا ـ ساز ملانا
accomplice,رافق جرم ـ جرم کا معاون يا شريک
accomplish,پورا کرنا ـ انجام دينا ـ شائشته ـ بنانا
accomplishment,ظاهري ٹيپ ٹاپ ـ شاهستگي ـ کمال
accord,تال ميل ـ باهمي رضامندي ـ يکدلي
accordance,مناسب ـ موافقت ـ مطابقت
accordant,هم ساز ـ هم آواز ـ هم نوا ـ موزوں
accordantly,هم نوائي سے ـ هم آهنگي سے
according,هم هوايانه ـ موافقانه ـ مطابقائه
accordingly,لهذا ـ پس ـ حسب حال
accordion,ايک قسم کا سفري هلکا پردے دار باجا ـ دھونکني کا بانا
accordionist,پردے دار باجا بجانے والا ـ ارگن باجا بجانے والا
accost,بولنا ـ مخاطب ـ فاحشه کي چھڑچھاڑ ـ کسي فاحشه کي راه چلتوں کو مخاطب کرنا
account,شمار ـ حساب کتاب ـ ميزان ـ سرگشت ـ تفصيل ـ امتحان ـ سبب ـ باعث
accountability,کفالت ـ ضمانت ـ ذمه داري ـ جواب دھي
accountable,ضامن ـ ذمه دار ـ جواب ده
accountableness,جواب دھي ـ ذمه داري
accountant,حساب لکھنے والا ـ منيب ـ محاسب
accountantship,حساب داني ـ محسابي کا عهده
accountre,سجانا ـ وردي پهنانا
accouterment,هتھيار اور وردي کے علاوه سپاھي کا دوسرا سامان ـ تھيلا وغيره
accoutrement,تھيلا وغيره
accoutres,وردي پهنانا ـ آراسته کرنا ـ ملبوس کرنا
accredicted,معتمد کلي ـ مسلمه نمائنده
accredit,مختار کرنا ـ اختيار دينا ـ کسي کو سفير يا نمائنده مقرر کرنا
accrete,اکٹھا اگنا ـ ساتھ ساتھ اگنا ـ پھيلنا ـ کسي مرکز کے چاروں طرف بڑھانا
accretion,اضافه ـ الحاق افزوني ـ نشونما
accrue,بڑھنا ـ نکلنا ـ کسي فائده يا نتيجه کا حاصل هونا
accumulate,اکھٹا کرنا ـ جمع کرنا ـ فراھم کرنا
accumulation,روپيه کي زيادتي ـ مال کي فراواني ـ توده
accumulative,جمع شده ـ اجتماعي ـ مجموعي
accumulatively,مجموعي طور پر ـ اجتماعي طور پر
accumulator,جمع کرنے والاـ جوڑنے والاـ اکھٹا کرنے والا
accuracy,درستيـ صحت
accurate,محتاطـ ٹھيک ـ صحيح ـ درست
accurately,درستي سيـ صحت کے ساتھ
accurst,رانده درگاهـ مردودـ لعنتي
accusation,شکايتـ تهمتـ الزام
accusatival,مفعولي
accusative,اسم منصوبـ صيغه مفعولي
accusatively,مفعولي کے طور پر
accusatorial,ايسا مقدمه جس ميں عدالت کو صرف جرم کا فيصله کرنا هو اور تحقيقات مقصود هو
accusatory,الزام آميزـ انتهاهيـ الزامي
accuse,الزام لگاناـ متهم کرناـ قصور وار ٹھرانا
accused,شخصـ ماخوذـ ملزم
accuser,الزام لگانے والاـ مدعي
accusingly,مستغيثانه طريقه پر ـ مدعيانه طور پر
accustom,عادت ڈالناـ خوگر بنانا
accustomed,معتادـ عادي
ace,اکاـ تين کانيـ ايک فرانسيسي هوا باز فس نے ديمن کے دس جهاز گرائيـ نمايلي کام کرنے والاـ بهت بڑا اور مشکل کام کرنے والا
aceldama,وه کھيت فو يهوني نے حٰٰضرت مسيح سے غداري کے عوض تين سکوں ميں حاصل کيا تھاـ مفتل
acephalous,بے سراـ وه حيوانات جو نے سرے معلوم هوتے هيںـ خود مختاري
acerbate,تيز کرنے والاـ مشتعل کرناـ بڑھا دينا
acerbity,آتش مزاجيـ درشتي ـ تندي
acerose,تيز نوک والاـ نوکيلا
acervate,چھوں کي شکل ميں اگنے والا پودا
acervation,ڈھيرـ تودهـ انبار
acescence,تھوڑي سي ترشيـ کھٹائي
acescent,کھٹاـ ترشي مائل
acetabulun,سرکے کا پياله ـ قفل هڈي
acetarious,ان سبزيوں کے متعلق جو رائتے کي سلاد ميں استعمال هوـ
acetfication,کھٹاپن
acetfier,وه چيز جس ميں سرکه بنايا جاتا هے
acetic,سرکے کے متعلق ـ سرکے کا ـ خلي
acetified,ترشـ سرکه
acetify,ترش هو جاناـ ترش کرناـ سرکه بنانا
acetous,کھٹا ـ سرکه کي طرح
acetylene,ايک سے رنگ گيس جس کا شعله روشن هوتاهے
achates,مخلص دوست
ache,درد کرناـ دکھنا
achievable,قابل حصولـ حاصل هونے کے قابل
achieve,پورا کرنا ـ  انجام ديناـ حاصل کرناـ کامياب هوناـ مقصود پا لينا
achievement,امتيازي نشان ـ کامرانيـ نماهشي کاميابيـ کار نما شي
achiever,امتيازي نشان حاصل کرنے والا
achillen,ناقابل تسخيرـ عضو ضعيف
achilous,نے لبے نباتيات
achlamydeous,پھول جن ميں نه مسند گل هو نه چهره گل هو
achromatic,بے رنگ ـ هو شيشه فس ميں روشني بغير رنگ دئے گزرے
achromatically,بے رنگ طريقه پر
achromaticity,بے رنگي
achromatism,بے رنگ پنا
achromatize,بے رنگ کرنا
acid,کھٹاـ ترشـ تيزابي
acidifiable,کھٹا کرنے کے قابلـ ترشه بنانے کے قابل
acidification,ترشائيتـ ترشه بنانے کا عملـ تخسيض
acidifier,تيزابي کيفيت پيدا کرنے والاـ ترشه بنانے والا
acidify,تيزابي بنانا ـ ترش کرنا
acidity,ترشوشتـ حصوضيت
acidulate,کسي قدر تيزاب بننا
acidulous,هلکي سي کھٹاس رکھنے والي چيز
acinus,مکو سي شهتوت کي قسم کے پھل کا دانه سي بيچ
ack ack,هوا مارـ طياره مار توپ
acknowledge,مانناـ قبول کرنا
acknowledgement,رسيد ـ منظوريـ قبوليت
aclinic,مقناطيسي
acme,نقطه عروج
acne,پھنسي ـ دنبلـ دانه
acock,بانکے انداز سے ـ ٹيڑھي ترچھي ٹوپي پهننے هوئے
acolyte,گرجا کا ادئي ملازمـ مدد گار ملازم
aconite,بسـ زبرـ جدوارـ ايک زهر زهريلا درخت
aconitic,زيريلاـ مهلک زهر
aconitive,جدوار
acorn,بلوط کا پھلـ بلوط
acotyledon,بے دياله
acotyledonous,بے دالاـ بے ديلولا
acoustic,سماعتيـ صوتي
acoustical,سماعياتيـ متعلق نه سماعتـ اصواتي
acoustically,سماعت کي سننے کے لحاظ سے
acoustician,ماهر سمعيات
acoustics,سمعيات
acquaint,اطلاع ديناـ آگاه کرناـ خبر دينا
acquaintance,جان پهچان ـ ملاقات ـ سناسائي
acquiesce,مانناـ راضي کرناـ تسليم کرنا ـ منظور کرنا
acquiescence,رضامندي ـ منظوري
acquiescent,چپ چاپ مان لينے والا
acquire,حاصل کرناـ پاناـ پيدا کرناـ مالک بننا
acquirement,اکتسابي استعدادـ اکتساب ـ حصول
acquisition,اکتساب ـ تحصيلـ حصول
acquisitive,حاصل کرنے والاـ حصول کا شرق رکھنے والا
acquisitiveness,هو سناکي ـ احتساب کا شرق
acquit,رها کرناـ چھوڑناـ بے گناه قرار دينا
acquittal,قرض کي انجام دهيـ قرضه کي ادائيگي
acquittance,رهائيـ قرض کي ادائي
acre,مزروعه زمين ـ بهت زمين کا مالک
acreage,زرعي زمين ايکڑوں ميں ـ رقبه کے حساب سے
acrid,تيزـ تلخ
acridity,درشتيـ چڑ چڑا پنـ تيزي
acrimonious,درشت طبعـ تند مزاج ـ تيز
acrimoniously,تيزي اور سختي ـ تند مزاج
acrimony,مزاج کي ترشيـ تيزي
acrobat,نٹـ قلابازـ رسے پر ناچنے والاـ سياسي گرگٹ
acrobatic,نثوں کا ـ نثوں کي طرح
acrobatically,نثوں کي طرح
acrobatism,قلابازي کا فن ـ نٹ پنا
