a 1,نهايت اعليٰ ـ بهترين
acrogen,ايسا پودا جسکا تنا مداهي هو اور تقطه نمو سرے پر هو
acrogenous,سر نموـ سر خيز
acroliths,لکڑي کا بت جس کا سر اور هاتھ پير پھتر کے هوں
acropetal,پودا جو نيچے سے اوپر کي طرف بڑھے
acropolis,يوناني  شهروں کا بالا حصار
across,آڑاـ آرپارـ صليب نماـ پاس
acrostic,صنعت توشيعـ ايسي نظم جس کے ايمار کے ابتدائي درمياني اور آخري حروف سے کوئي نام جزو کلام کا جمله بن جائے
acrostically,چليپائي طور پرـ صنعت توشيع کے ساتھ
act,کام کاج ـ عمل ـ کارگزاري ـ کرتب ـ فعل
acting,قاهم مقام ـ نگران کار
actinism,سورج کي کرنوں کا اثر
action,چالـ حرکت ـ فعلـ عملـ ککامْٓ
actionable,قابل مواخذهـ قابل دست اندازي
actionably,دست اندازنهـ قابل گرفت طريقے پر
active,کرتاـ کام کا  جيـ عمليـ محنتي
actively,مستعدانهـ سرگرمي سيـ پھرتي سے
activity,حرکتـ جوشـ  مستعديـ تيزيـ پھرتيـ سرگرمي
actor,ڈراما کرنے والا ـ اداکار ـ فاعل ـ اداکار ـ فاعل ـ عامل
actress,ڈرامے ميں حصه لينے والي اداکاره
actual,واقعي ـ اصلي ـ حقيقي
actuality,واقعيت ـ اصليت ـ حقيقت
actualization,قوت سے فعل ميں لانے کا عمل تکميل
actualize,جيتا جاگتا بنا کر پيش کرنا ـ جان نکالنا
actuarial,مهارت بيمه کے متعلق
actuary,بيمے کا ماهر
actuate,اکسانا ـ ترغيب دينا ـ حرکت ميں لانا
actuation,انتقال حرکت ـ ترغيب ـ تحريک ـ اشتعال
acuity,شدت ـ تيزي ـ چبھن
aculeate,ڈنک مارنے والا ـ نشيدار
aculeus,ڈنک ـ کاٹنا
acumen,زيرکي ـ فراست ـ تيز فهمي
acuminate,نوکدار ـ نوکيلا
acumination,نوکيلا پن ـ زيادتي
acute,تيز ـ نوکدار ـ نکيلا ـ بهت سخت
acutely,سختي سے ـ تيزي سے ـ شدت سے
acuteness,فراست ـ ذهانت ـ تيزي
adage,کهاوت ـ ضربال مثل ـ معقوله
adagio,آهستگي اور دھيمے پن سے
adam,باوا آدم ـ حضرت آدم ـ پهلا آدمي
adamant,سنگ خارا ـ سخت پتھر ـ سنگ مقناطيس
adamantine,الماسي ـ سخت ـ کڑا
adamite,آدم ذات
adapt,مطابق کرنا ـ موافق کرنا
adaptability,جيسا ديس ويسا بھيس ـ مطابقت پذيري
adaptable,تصريف پذير ـ گھلنے ملنے کي قابليت رکھنے والا
adaptation,مناسبت ـ موافقت ـ تصرف
adapter,تصرف کرنے والا
adaptive,حالات کے مطابق رنگ اختيار کرنے والا
adavanced,روشن خيال ـ ممتاز ـ ترقي يافته ـ اعلي
add,جوڑنا ـ جمع کرنا ـ شامل کرنا ـ اضافه کرنا
addenda,قابل اضافه چيز ـ ضميمه
addendum,ضميمه
adder,افعي ـ سانپ
addict,عادي هونا ـ لت کگ جانا ـ لتي هو جانا
addiction,عادت ـ لت ـ ذھت
addition,جمع کرنے کا عمل ـ پيشي اضافه
additional,ضمني ـ فالتو ـ زياده
additionally,بالاهي طور پر ـ ضمني طور پر
addle,گندا ـ گندا انڈا جس سے نچه نهيں نکلتا
address,تقرير کرنا ـ خطاب کرنا ـ خط پر پته لکھنا
addressee,جس کو خط لکھا جاهے ـ مکتوب اليه
adduce,دليل يا ثبوت پيش کرنا ـ نظير پيش کرنا ـ حجت يا سند پيش کرنا
adducent,اعصاب يا پٹھے جو ايک هي مرکز کي طرف کھينچ جاهے
adducible,دليل کے طور پر پيش کرنے کے قابل
adduct,اعصاب کا ايک هي مرکز کي طرف کھينچنا
adduction,ايک هي مرکز کي طرف پٹھوں کا کھنچاؤ ـ حجت ـ نظير کا اظهار
adductive,پٹھوں کو مرکز کي طرف کھينچنے والي طاقت
adenoid,گلے کے غدود جو ناک اور حلق کي پشت پر هوتے هيں
adept,هنر مند ـ ماهر ـ مشاق
adequacy,موزونيت ـ کافي ـ قابل
adequate,موزوں ـ مناسب ـ کافي ـ قابل ـ برابر
adequately,مناسب طريقے پر ـ پورے طور پر ـ ٹھيک ٹھيک
adhere,جما رهنا ـ چپک جانا ـ جڑا رهنا ـ وفادار رهنا ـ ثابت قلم رهنا
adherence,استقلال ـ ثابت قدمي ـ وفادار ـ حمالت
adherent,چسپاں ـ چپکا هوا ـ لگا هوا ـ پيرو ـ بهي خواه
adhesion,لگاؤ ـ پيروي ـ وابستگي ـ پابندي
adhesive,ليسدار ـ چپکانے والا ـ جڑنے والا
adhesively,جوڑے هونے ـ وابسته رهتے هوئے ـ چپکتے هوئے
adiabatic,يکساں درجے کي حرارت رکھنے والا
adiantum,سنبل سياه
adiaphorism,بے تعصبي ـ آزاد خيالي ـ آزاد مشروبي
adiaphorist,بے تعصب آدمي ـ وسيع المشروب
adieu,خدا حافظ ـ الوداع کرنا ـ في امان اﷲ
adipose,موٹا ـ چربيلا ـ چکناهي دار ـ روغني
adiposeness,موٹاپا ـ چکناهي ـ چربيلا پن
adiposity,موٹاپا ـ چربيلا ـ چکناهي
adit,سرنگ ـ زيرزمين راسته
adjacency,نزديکي ـ اتصال ـ الحاق ـ قرب
adjacent,متصل ـ ملحق
adjectival,صفاتي ـ صفتي ـ توصيفي
adjectivally,بطورصفت
adjective,اضافي ـ صفت ـ زاهد ـ صفتي ـ عوض
adjoin,جوڑنا ـ ملانا ـ جوڑا هوا هونا ـ متصل هونا
adjourn,ملتوي کرنا ـ روک دينا ـ برخاست کرنا ـ التوا ميں نکالنا
adjournment,التوا ـ برآثنگي ـ برخاستگي
adjudge,قرار دينا ـ تجويز کرنا ـ فيصله کرنا ـ حکم دينا
adjudgement,تصفيه ـ فيصله ـ حکم
adjudicate,حکم دينا ـ فيصله نافذ کرنا ـ بري کرنا يا ملزم ٹھرانا
adjudication,ديواليه قرار دينے کي تجويز ـ فيصله ـ حکم ـ تصفيه
adjudicative,انفصالي ـ عدالتي
adjudicator,حاکم عدالت ـ منصب ـ حاکم
adjunct,متعلقه چيزيں ـ ملحقات ـ اضافه
adjunctive,زائد ـ الحاق
adjunctively,الحاقي طور پر
adjuration,منت سماجت ـ واسطه ـ قسم ـ حلف
adjure,قسم دينا ـ حلف دينا ـ واسطه دلانا ـ التجا کرنا ـ منت سماجت کرنا
adjust,ترتيب دينا ـ آراسته کرنا ـ صفاهي کرانا
adjustable,قابل فيصله ـ سلجھاهے کے قابل ـ ترتيب پذير
adjustment,فيصله ـ هم آھنگي ـ ترتيب ـ تصفيه
adjutancy,اجيٹن کا عهده
adjutant,نائب ـ مددگار ـ اجيثن جو اعلي افسر کا مددگار هوتا هے
administer,انتظام کرنا ـ بندوبست کرنا ـ انصاف کرنا ـ مذھبي رسوم ادا کرنا ـ مدد پهنچانا ـ سهارا دينا
administrable,بندوبست اور انتظام کے قابل
administration,انتظام ـ بندوبست ـ نظم و نسق ـ ورارت ـ حکومتـ مرحومين کي جائداد کا انتظام
administrative,متعلق نظم و نسق ـ انتظامي عمل
administrator,منتظم ـ مهتم ـ ناظم ـ انتظامي قابليت رکھنے والا ـ دينے والا ـ نابالغوں کي جائداد کي نگراني کرنے والا
administratrix,منتظمه ـ ناظمه
adminstration,انتظام ـ بندوبست ـ نظم و نسق
admirable,خوب ـ بهت عمده ـ نفيس ـ قابل تعريف
admirably,قابل تعريف طور پر ـ خوبي کے ساتھ
admiral,امير البحر ـ بحريه کا اعلي افسر
admiralship,اميرالبحر کا عهده
admiralty,نظامت ـ بهري ـ اميرالبحر کا دفتر
admiration,تحسين ـ اچنبھا ـ تعجب ـ پسنديدگي ـ مدح
admire,تعريف کرنا ـ پسند کرنا ـ آفرين کهنا
admirer,تعريف کرنے والا ـ پسند کرنے والا ـ مدح ـ شيدائي
admissability,قابل تسليم واقعه ـ جواز ـ منظوري کي قابليت ـ سماعت
admissibility,قابل تسليم واقعه ـ سماعت پذيري ـ جواز
admissible,قابل قبول ـ شنوائي ـ گزر ـ داخله
admission,اعتراف ـ داخله ـ گزر ـ رسائي ـ شموليت
admissive,مائل به اعتراف
admit,داخل کرنا ـ شامل کرنا ـ داخلے کي اجازت دينا ـ ماننا
admittable,روا ـ جائز ـ حرکت کے قابل
admittance,داخله هونے کي اجازت ـ حرکت ـ داخله
admittedly,بے شک و شبه ـ مسلمه طور پر
admix,ملنا ـ ملانا ـ آميزش کرنا ـ ملاوٹ کرنا
admixture,ميل ـ ملاوٹ ـ آميزش
admonish,متنبه کرنا ـ دھمکانا ـ هدايت کرنا ـ مشوره دينا ـ سمجھانا
admonition,ملامت ـ تنبيه ـ فهمائش
admonitory,فهمائشي ـ نصيحت آميز
ado,درد سري ـ جھنھٹ ـ تکليف ـ پريشاني ـ مشکل
adobe,کچي اينٹ ـ دھوپ ميں سکھائي هوئي
adolescence,اٹھتي جواني ـ عنفوان شباب ـ بلوغ
adolescent,نوجوان ـ بالغ ـ آغاز شباب
adonis,حسين نوجوان جو زھره کا منظور نظر تھا ـ خوبرو
adonize,سنوارنا ـ بنانا
adopt,متنبي بنانا ـ گود لينا ـ منه بالا بيٹا نبابا ـ قبول کرنا ـ پسند کرنا ـ اختيار کرنا
adoptable,تسليم کرنے کے قابل ـ قابل قبول ـ متنبي نبانے کے قابل
adoption,لے پالک کرنا ـ متنبي بنانا ـ گود لينا ـ تسليم ـ اختيار
adoptive,گود ليا هوا ـ پالک ـ متنبي
adorable,لائق احترام ـ قابل پرستش
adorably,عزت و محبت کے ساتھ ـ محترمانه
adoration,عشق ـ محبت ـ احترام ـ بندگي ـ پرستش
adore,پوجنا ـ پرستش کرنا ـ عزت کرنا ـ ادب کرنا
adorer,پجاري ـ پرستار ـ عاشق ـ شيدائي ـ مداح
adorn,سجانا ـ آرائش کرنا ـ آراسته کرنا ـ زينت دينا
adornment,سج دھج ـ سنگھار ـ آرائش
adowee,پادري مقرر کرنے کا اختيار اور حق رکھنے والا عهديدار
adowson,پادري مقرر کرنے کا حق
adrift,بهتا هوا ـ آواره ـ بے کس
adroit,پھرتيلا ـ چابکدست ـ چالاک ـ هوشيار ـ شاطر ـ مستعد
adroitly,هوشياري سے ـ چالاکي سے
adroitness,چالاکي ـ مهارت ـ چابکدستي
adulate,چاپلوسي کرنا ـ خوشامد کرنا
adulation,تعلق ـ خوشامد ـ چاپلوسي
adulator,چکني چپڑي باتيں کرنے والا ـ خوشامدي
adullamite,قديم شهر ادلام کا باشنده
adult,سيانا ـ جوان ـ بالغ ـ جوان ـ آدمي
adulterant,ملوئي ـ ميل ـ ملاوٹ ـ جس چيز سے ملاوٹ کي جائے
adulterate,ملانا ـ آميزش کرنا ـ بگاڑنا ـ خراب کرنا
adulteration,آميزش ـ ملاوٹ ـ کھوٹ
adulterator,ملاوٹ کرنے والا ـ آميزش کرنے والا
adulterer,بدکار ـ زال ـ زناکار
adulteress,زائيه ـ فاحشه ـ قحبه ـ بے عصمت ـ چھنال
adulterine,حرامي ـ نطفه حرام ـ ناجائز
adulterous,فاحشه ـ فاسق ـ زناکار ـ بدکار
adultery,فسق ـ حرام کاري ـ بکداري ـ زنا
adumbrate,خاکه تيار کرنا ـ جھلک دکھانا ـ پهلے سے اندازه لگانا ـ چھا جانا
adumbration,جھلک ـ ساشه ـ پرچھاتيں ـ اشاره
adumbrative,جھلک دکھانے والا ـ مظھر
advance,ترقي ـ بيعانه ـ حمله ـ چڑھاهي ـ اقدام ـ پيش قدمي ـ پيشگي ـ سائي
advanced,روشن خيال ـ ممتاز ـ اعلي ـ ترقي يافته
advancement,ترقي ـ آزاد خيالي ـ سرفرازي ـ اضافه
advantage,بهتري ـ فائده ـ بھلائي ـ ترقي دينا ـ مفيد هونا ـ بڑھانا
advantageous,بهتر ـ جائده مند ـ مفيد
advantageously,سود مندانه ـ بهتر طريقے سے ـ فائده کے طور پر
advent,آمد ـ آنا ـ بعشت مسيح
adventitious,عارضي ـ اتفاقي ـ خارجي
adventitiously,عارضي طور پر ـ خارجي طور پر ـ بيروني طور پر
adventure,جان جوکھوں ميں ڈالنا ـ خطرے ميں پڑنا ـ مصيبت مول لينا ـ مهم
adventurer,زمانه ساز ـ عيار ـ سٹے باز ـ قسمت آزما ـ جانباز
adventuresome,سرفروش ـ جانباز
adventurous,جيالا ـ جانباز ـ من چلا ـ جري ـ سورما
adventurously,سرفروشانه ـ جرات اور جيالے پن سے
adverb,متعلق فعل ـ تابع فعل
adverbial,توسيع فعل کا ـ متعلق فعل کا
adverbially,متعلق فعل کے طور پر
adversary,حريف ـ دشمن ـ رقيب ـ مد مقابل
adverse,الثا ـ برعکس ـ برخلاف ـ ناموافق ـ نقصان ده ـ مضر
adversely,مخالفانه ـ رقيبانه ـ حريفانه
adversity,مصيبت آفته ـ نحوست ـ بد بختي
advert,ذکر کرنا ـ توجه کرنا ـ بيان کرنا ـ حواله دينا
advertancy,توجه ـ رعايت
advertent,توجه کرنے والا ـ خيال رکھنے والا
advertise,خبردار کرنا ـ اشتهار دينا ـ اعلان کرنا ـ مشتهر کرنا ـ مطلع کرنا
advertisement,صلائے عام ـ منادي ـ اعلان
advice,خبر ـ اطلاع ـ رائے ـ صلاح ـ نصيحت ـ مشوره
advisability,قرآن مصلحت هونا
advisably,مصلحت کي رو سے ـ حساب اقتضا
advise,نصيحت کرنا ـ مشوره دينا ـ سمجھانا
advisedly,عمدا ـ قصدا ـ دائسته ـ احتياط سے ـ سوچ بچار کرکے
adviser,مشير ـ جاصح ـ صلاح کار
advisory,ماھرانه ـ نصيحت آميز ـ صلاح کار
advocacy,وکالت ـ حمايت ـ عدالتي جواب دھي ـ پيروکاري
advocate,قانوني مشير ـ وکيل ـ مختار
advocateship,ايڈوکيٹ کا عهده
advocatory,وکالت کے متعلق
adynamia,حرارت عزيزي کي کمي
adytum,زيارت گاه ـ خانقاه يا مندر کا اندروني منظر
adze,کلهاڑي ـ تيشه
aedile,قديم روما کا مجسٹريٹ جو تکاشا گاهوں اور عمارتوں کي نگراني کرتا تھا
aedileship,مجسٹريٹي ـ ايدائل کا عهده
aegis,قيادت ـ سرپرستي ـ پناه
aeolian,ايشائے کوچک کے قديم ضلع اشوليس کا
aeolic,ايک بولي
aeon,زمانه ـ جگ ـ وه قوت جو ابتدائے کائنات سے موجود هے
aerate,هوا بھرنا ـ کارهونک ايسڈ گيس بھڑنا
aeration,گيس بھرنے کا عمل
aerial,هواهي ـ آکاشي ـ لاسلکي وه تار جو صوتي اور برقي لهران کھنچتا هے
aerially,موهوم طور پر ـ لطافت سے ـ هوا کي طرح
aerie,شکاري پرندوں مثل عقاب يا باز وغيره کے گھونسلے ـ وه مکان جو پهاڑ کي چوٹي ميں بنا هو
aeriform,هوائي ـ غير مادي ـ خيالي
aero bomb,هواهي جهاز سے گرايا جانے والا بم
aero,به سابقه کسي لفظ سے پهلے لگايا جاتا هے جس کا تعلق هوا سے هو
aerobatics,هواهي جهاز کي قلابازي ـ هواهي کرتب
aerocamra,فضائي کيمره جو هواهي جهاز سے عارضي تصويريں لينے کيلئے استعمال هوتا ئے
aerodrome,هوائي ميدان
aerodynamic,چلنے والي هواؤں کے دباؤ کا علم ـ هواهي حرکات
aeroengine,هواهي جهاز کے انجن
aerofoil,هوائي جهاز کا بازو
aerogram,لاسلکي پيغام ـ هواهي تار
aerolite,سنگ شهاب
aerolith,سنگ شهاب ـ وه پھتر جو ستاره ٹوٹنے سے زمين پر گر جائے
aerometer,هوا کا دباؤ معلوم کرنے کا آله
aeronaut,طيارچي ـ هوا باز
aeronautic,علم هوا بازي
aeronautical,هوا بازي کے متعلق
aeroplane,هواهي جهاز
aerostat,غباره ـ طياره
aerostatestics,هوائي پرواز کا علم
aerostation,علم غباره بازي
aesculapian,حکيمانه ـ طيبي
aesculapius,قديم روميوں ميں طب کا ديوتا ـ حکيم
aesthete,حسن پرست ـ حسن شناسي
aesthetic,حسن کے متعلق ـ جمالياتي
aesthetically,جمالياتي حيثيت سے
aestheticism,حسن شناسي
aestivate,بعض جانوروں مثلا مگر مچھ کا کيچڑ اور دلدل ميں سخت کرمياں گزارنا
aestivation,جانوروں کا چھپ چھپا کر موسم گرما کاٹنا
aetiological,علت يا اسباب الامراض کے متعلق
aetiologically,علت يا اسباب المراض کے متعلق
aetiology,فلسفه علت و معلوم
afar,فاصله پر ـ دار سے
affability,تلطف ـ اخلاق
affable,خوش اخلاق ـ خليق
affably,خنده پيشاني سے ـ مروٹ سے ـ خوش خلقي سے
affair,ماجرا ـ کام ـ کاروبار ـ بات ـ قضيه ـ مصنوعي جنگ
affect,دل کو لگنا ـ کاري هونا ـ دل ميں اتر جانا ـ کھينچنا ـ چبھنا ـ چلوچلے کرنا ـ تصنع کرنا
affectation,اوپري باتيں ـ مصنوعي اخلاق ـ بناوٹ ـ تصنع ـ ظاهرداري
affected,متاثر ـ جھوٹ موٹ کا ـ مصنوعي
affectedly,جذباتي طور پر ـ ظاهرداري سے
affectedness,تاثر ـ ظاهرداري ـ تصنع
affectinateness,شيدائيت ـ محبت
affectingly,جذباتي طرز سے ـ پر اثر طريقے سے
affection,الفت محبت ـ مهر ـ چاه ـ جذبه ـ ميلان ـ روگـ بيماري
affectional,پر احسان ـ جذباتي
affectionate,شفقت آميز ـ دلداده ـ محبت والا
affectionately,دلدادگي سے ـ پيار سے ـ محبت سے
affective,قلبي کيفيات سے متعلق ـ پر احسان ـ جذباتي
afferent,اندر پيچنے والا ـ اندر کي طرف جانے والا
affiance,آسرا ـ بھروسا ـ اعتماد ـ منگني
affidavit,اظهار حلفي ـ مصدقه بيان حلفي ـ حلف نامه
affiliate,شامل کرنا ـ الحاق کرنا ـ تعلق قائم کرنا
affiliation,تعلق ـ نسبت ـ الحاق
affined,علاقه دار ـ تعلق رکھنے والا
affinity,مشاهبت ـ نسبت ـ لگاؤ ـ تعلق
affirm,دعوي سے کهنا ـ زور سے کهنا
affirmable,ايجاب پذير ـ قابل تائيد ـ قابل قبول
affirmation,اثباتي اقرار ـ قول ـ توثيق ـ تصديق
affirmative,تصديقي ـ اثباتي ـ اقراري
affirmatory,تصديقي ـ توثيقي ـ کمزوري
affix,ملانا ـ لگانا ـ جوڑنا ـ الزام دينا
affixture,رشته ـ تعلق ـ جوڑنا
afflatus,وحي ـ الهام ـ کشف ـ القا ـ علم حضوري
afflict,تکليف ميں ڈالنا ـ مصيبت نازل کرنا ـ ايذا پهنچانا
affliction,بلا ـ مصيبت ـ درد ـ دکھ ـ تکليف
afflictive,بلا خير ـ درد ناک ـ تکليف ده
affluence,دولت کي بهتات ـ دولتمندي ـ مرفه الحالي ـ کثرت
affluent,بهتات ـ کثرت ـ افراط سے
affluently,بهتات سے ـ کثرت سے ـ افراط سے
afflux,بهاؤ ـ رجحان ـ رغبت ـ ميلان ـ زيادتي
afford,ذرائع رکھنا ـ مالي طاقت رکھانا ـ مقدور رکھنا ـ گنجائش نکالنا
afforest,کسي زمين ميں درخت لگا کر جنگل بنا دينا
afforestation,جنگل بنانا ـ جنگل بنانے کا عمل
affranchise,غلامي يا قرض وغيره سے خلاصي دينا
affray,مار کٹائي ـ هنگامه ـ بلوه ـ دنگا فساد
affright,ڈرانا ـ خوف ذده کرنا ـ دهشت ذده کرنا
affront,برملا هتک کرنا ـ بے عزتي کرنا ـ مقابله کرنا ـ سامنے آنا ـ گستاخي کرنا
affusions,بخار ميں مريض پر کنکتا پاني ڈالنا
afield,ميدان ميں ـ کھيت ميں ـ گھر سے دور
afire,جلتا هوا ـ مشتعل
aflame,بھڑکتا هوا ـ شعلوں ميں
afloat,تيرتا هوا ـ بهتا هوا ـ جهاز ميں ـ بے ٹھکانه ـ مذبذب
afoot,کام ميں ـ حرکت ميں ـ چلتا هوا ـ پيدل
afore,آگے ـ اوپر
afraid,دشت ذده ـ خائف ـ ڈرا هوا ـ سهما هوا
afreet,الف ليله کا خوفناک جن
afresh,نئے طريقے سے ـ نئے انداز ميں ـ از سر نو
africander,جنوبي افريقه کا ولنديزي نزاد باشنده
aft,سکان رخ ـ جهاز کا عقيقي حصه
after,پيچھے ـ بعد ـ عقب ميں ـ واسطے ـ مطابق
afterbirth,جھلي کا برقعه ـ وه جھلي جس کے اندر بچه رحم ميں ليٹا رهتا هے
aftercrop,فصل اول کے بعد چاره کي دوسري فصل
afterdamp,کاربالک گيس جو کسي کان ميں دھماکے بعد ره جاتي هے اس سے کارکنوں کا دم گھٹتا هے
afterglow,شفق ـ غروب کے وقت آفتاب کي سرخ روشني
aftermath,کسي عمل کے عواقب اور نتائج ـ پچھيتي گھاس
aftermost,جهاز کا پچھلا حصه
afternoon,سه پهر ـ تيسرے پهر
afterpreice,ناٹک کے بعد کي مزاحيه نقل
afterthought,پس انديشي ـ مشتے بعد از جنگ ـ کام کے بعد کا کھيل
afterward,اس کے بعد ـ اس کے پيچھے ـ بعد کي توجه
aga,ترقي فوج کا افسر
again,دوباره ـ پھر سے ـ ايک دفعه اور ـ علاوه ازيں
against,خلاف ـ الثا ـ بمقابله ـ برعکس ـ آمنے سامنے
agami,ايک امريکن پرنده
agamic,حيوانات نے جنسا ـ بے جنسي
agamous,وه جانور جس ميں نر يا ماده کي کوئي علامت هو
agape,مبهوث ـ ششدار ـ حيران ـ متحير ـ بھوچکا
agarics,کھمبي ـ سانپ جيسي چھتري نما کھمبي جو زهريلي هوتي هے
agate,سنگ سليماني ـ عقيق ـ آبدار ـ قيمتي پتھر ـ سونے کے تار ـ دمکانے کا ايک اوزار
agave,ايک قسم کي جھاڑي جو جنگلے کے طور پر اگائي جاتي هے
agaze,آنکھيں پھاڑے هوئے ـ ٹکٹکي باندھے هوئے
age,عمر ـ عرصه ـ حيات ـ پيري ـ ضعيفي ـ زمانه ـ عهد ـ سن
aged,فرسودهـ کهن سالـ بوڑھا
agedness,بڑھاپاـ پيريـ پيرانه سالي
ageless,کبھي بوڑھانه هونے والاـ برا بھرا
agency,وسيلهـ ذريعهـ واسطهـ معرفتـ ايجينسيـ کارخانهـ دوکان
agenda,جلسه کا نظامالعمل ـ ايجينڈا
agent,فاعلـ عاملـ کرنے والا
agglomerate,اکٹھا کرناـ يکجا کرناـ مجتمع کرنا
agglomeration,اجتماعـ ٹھيرـ گولاـ ذلا
agglomerative,جمع کرنے کي قابليت رکھنے والا
agglutinate,چپکا هواـ جڑا هواـ چسپيده
agglutination,چيپ ـ ليسـ چيک جاناـ چسپيدگي
agglutinative,چپچپاـ ليسدار
aggrandize,سرفراز کرناـ ترقي ديناـ درجهـ مرتبه کا رتبه بڑھاناـ زياده کرنا
aggrandizement,عظمت ـ ترقي ـ سرفرازي
aggravate,زياده کرناـ شديد کرناـ سنگين کرناـ خراب کرناـ بھڑکانا
aggravation,اشتعال ـ تشددـ زيادتي
aggregate,اکٹھا ـ مجموعيـ کل ميزان
aggregation,ڈھير ـ حاصل جمع ـ ميزان
aggregative,اجتماعي ـ مجموعي
aggress,چھڑنا ـ لڑائي ميں پهل کرنا
aggression,آغاز جنگ ـ حمله ـ چڑھائي
aggressive,ناگوار ـ آماده پيکار ـ جارحانه
aggressively,حمله آورانه طور پر ـ جارحانه طور پر
aggressiveness,جارحانه کاروائي ـ جارحيت ـ جنگجوئي
aggressor,جارح ـ چڑھائي کرنے والا
aggrieve,دکھ پھنچانا ـ دق کرنا ـ رنج دينا ـ تکليف دينا
aghast,سھنا هوا ـ خوف زده ـ متحير
agile,چست چالاک ـ پھرتيلا
agilely,چالاکي سے ـ پھرتي سے ـ مستعدي سے
agility,چستي ـ تيزي ـ چالاکي
agio,بٹه ـ بھنوائي
agiotage,صرافي ـ سکوں کي لين دين
agist,مويشيوں کي چڑائي کرنا ـ حصول رقم ـ چرائي ـ چرنے کے لئے چراگاه کرايه پر دينا
agistment,چرائي کي رقم ـ چرائي
agitate,حرکت ميں لانا ـ پهچان پيدا کرنا ـ بھڑکانا ـ هلچل پيدا کرنا ـ مشغل کرنا ـ اکسانا ـ جدوجهد کرنا ـ سوچ بچار کرنا
agitation,خيالات کا الجھاؤ ـ هلچل ـ جنيش ـ پريشاني
agitator,هلچل پيدا کرنے والا ـ مشغل کرنے والا
aglet,زنانه لباس کي چمکدار ٹکياں ـ سلمه ستاره ـ وردي کا پھندنا ـ جھالر ـ چاندني اور ريشم کے پھول
