a 1,نهايت اعليٰ ـ بهترين
aries,برج حمل ـ ميگھ
aright,درست طريقے سے
arilate,پرت دار
arilated,چھلکے والا
arils,چھلکا
arise,اٹھنا ـ پيدا کرنا ـ بيدار هونا
aristocracy,مخصوص طبقه کي حکومت
aristocrat,حکومت امرا کا طرفدار ـ مغرور انسان
aristocratic,اميرانه
aristocratism,امارت پسندي ـ اميرانه
aristotelian,فلسفه ارسطو کا قائل
arithmetic,علم اعداد ـ علم حساب
arithmetical,حسابي
arithmetically,حساب سے
arithmetician,حساب دان
ark,تابوت ـ صندوق
arm,بازو ـ دست
armada,جنگي جهازوں کا بيڑا
armadillo,جنوبي امريکه کا ايک جانور
armament,مسلح فوج ـ فوجي ساروسامان
armature,اسلحه ـ هتھيار
armenia,آرمانيا
armenian,آرمانيا کا باشنده
armhole,آستين کا کھلا حصه جس ميں هاتھ ڈالا جاتا هے
armillary,کنگي ـ جوشني ـ چوڑيدار
armistice,عارضي صلح
armlet,بازو بند
armorial,خانداني نشان ـ خانداني نشان کے متعلق
armorist,ماهر اسلحه
armory,فن اسلحه
armour,زره بکتر ـ لباس آپن
armourer,محافظ سلاخ خانه
armoury,کارخانه اسلحه سازي
army,فوج ـ لشکر
aroma,عطر ـ خوشبو
aromatic,مهک دار ـ چٹ پٹا
aromatize,خوشبودار بنانا
around,ادھر ادھر ـ هر طرف
arouse,هوشيار کرنا ـ جگانا
arouser,جگانے والا
arrack,ديسي شراب
arraign,الزام لگانا ـ نقص نکالنا ـ عيب جوئي کرنا
arraigner,مجرم ٹھرانے والا
arraignment,الزام ـ عيب جوئي
arrange,لگانا ـ ترتيب دينا
arrangement,انتظام ـ بندوبست
arranger,انتظام کرنے والا
arrant,رسوا ـ بدنام ـ چھٹا هوا
arras,تصويريں لگانے کا زرين کپڑا
array,صف آرائي کرنا ـ ترتيب دينا ـ سنوارنا
arrayer,قطار بنانے والا
arrear,بقايا ـ پچھلا حصه
arrearage,پسماندگي ـ وصول طلب رقم
arrest,گرفتار کرنا ـ روکنا
arrester,گرفتار کرنے والا
arresting,گرفتاري
arrestive,روکنے والا ـ امتناعي
arrestment,حراست ـ روک ـ گرفتاري ـ ٹھهراؤ
arrival,آمد ـ تشريف آوري
arrive,آنا ـ پهنچنا ـ وارد هونا
arrogance,گستاخي ـ تکبر ـ غرور
arrogant,گستاخي ـ متکبر
arrogantly,متکبرانه ـ گستخانه
arrogate,ناجائز طور پر کسي چيز پر قبضه کرنا
arrogation,جھوٹادعوي
arrow,تير ـ ناوک
arrowroot,بيماروں کے لئے ايک هلکي غذا
ars,چبوتڑ ـ پٹھا
arse,چبوتڑ
arsenal,اسلحه خانه ـ ميگزين
arsenic,سنکھيا ـ سمالفار
arsenious,سنکھيا ملا هوا
arsenous,سنکھا کا جز رکھنے والا
arson,عمدا آگ لگانا
art,فن ـ هنر ـ هوشياري
artemisia,دونا مروا افسنطين
arterial,شريان کے متعلق
arteritis,سوزش شريان کا مرض ـ ورم شريان
artery,نس ـ شريان
artesian,برما کيا هوا پمپ
artesianwell,فواري کنواں
artful,هوشيار ـ چلتا هوا ـ چلتا پرزه
artfully,عياري سے ـ هوشياري سے
artfulness,مکاري ـ چالاکي
article,مضمون ـ کسي تحرير کا جز يا حصه
articular,جوڑا هوا
articulate,جوڑ دار ـ جوڑا هوا
articulately,صاف ـ واضع طور پر
articulateness,صاف هونا
articulation,صاف تلفظ ـ لهجه
artifice,چال ـ چالاکي
artificer,مؤجد ـ دستکار
artificial,بناؤٹي ـ مصنوعي ـ نقلي
artificiality,بناوٹ
artificially,مصنوعي طور پر
artificialness,نقلي پن
artillerist,گوله انداز ـ توهچي
artillery,توپ خانه ـ توپيں جو ٹينک اور طياروں پر گولے پھينکيں
artilleryman,توهچي
artillerymen,توپ خانے کے سپاهي
artimisia,دونا مروا افسنطين
artisan,کاريگر ـ دستکار
artist,فنون لطيفه کا ماهر ـ صناع
artistic,فنون لطيفه کے متعلق
artistically,مهارت فن کے ساتھ
artistry,فني حسن ـ فن مشاقي
artless,بھدا ـ بے هنر
artlessly,بے هنري سے
artlessness,بھونڈا پن ـ بے هنري
aryan,آرياني زبانيں
as,جونهي که ـ تاکه ـ جس طرح
asafoetida,حلتيت
asbestos,ريشه دار معدني ماده
ascend,ترقي کرنا ـ بلند کرنا
ascendancy,غلبه  ـ عروج ـ بلندي
ascendant,افضل ـ غالب
ascender,بلند هونے والا
ascending,بلند هوتا هوا ـ چڑھتا هوا
ascension,حضرت عيسي عليه السلام کا آسمان پر جانا
ascent,زينه ـ ترقي ـ بلندي
ascertain,معلوم کرنا ـ تحقيق کرنا
ascertainable,قابل تحقيق ـ قابل دريافت
ascertainment,تشخيص ـ تحقيق
ascetic,زاهد ـ عابد ـ فقير
ascetical,زاهدانه ـ درويشانه
ascetically,زاهدانه طرز سے
asceticism,پرهيز گاري ـ تقوي
ascribable,منسوب کرنے کے قابل
ascribe,تعلق ظاهر کرنا ـ منسوب کرنا ـ ٹھيرانا
ascription,تعلق ـ لگاؤ
aseptic,جس کے سڑنے کا انديشه نه هو
asexual,بے جنس
ash,راکھ ـ جنگلي درخت کي ايک قسم
ashamed,خفيف ـ پريشان ـ شرمنده
ashen,ايشن درخت کا
ashore,ساحل پر ـ کنارے پر
ashy,راکھ کي طرح ـ پيلا
asia,ايشيائ
asian,ايشين
asiatic,ايشيائ کا رهنے والا
aside,الگ ـ ايک طرف
asinine,گدھا ـ بيوقوف
asininity,بيوقوفي ـ گدھا پن
ask,پوچھنا ـ سوال کرنا
askance,شک کرنا ـ مشتبه نظروں سے ديکھنا
asker,سوال کرنے والا
askew,حقارت سے ـ ترچھا ـ تيڑھا
aslant,ترچھا ـ آڑا
asleep,سويا هوا ـ نيند ميں
aslope,سلامي ـ ڈھلاوان
asp,ايک قسم کا سفيدے کا درخت جسکے پتے هلتے رهتے هيں ـ زهريلا سانپ
asparagus,مارچوبا ـ موصلي سفيد
aspect,صورت ـ شکل ـ منظر ـ ھينت ـ طرف
aspen,ايک قسم کا درخت
asperate,کھردار کرنا ـ ناهموار کرنا
asperity,سختي ـ تلخي ـ کھردرا پن
asperse,تهمت لگانا ـ عيب لگانا
aspersers,تهمت لگانے والے
aspersion,کلنک کا ٹيکه ـ الزام ـ تهمت
asphalt,تارکول ـ رال
asphyxia,سانس کا رکنا
asphyxial,غشي يا سکتے کا
asphyxiate,گلا گھونٹنا
asphyxy,چکر ـ غشي
aspirant,اميدوار ـ آرزو مند ـ طالب
aspirate,آواز کو سانس کے ساتھ ادا کرنا
aspiration,انتهائي آرزو ـ سانس لينا
aspirator,باد کش
aspire,چھاج ـ سوپ ـ آرزو کرنا ـ تمنا کرنا
aspirin,بخار اور درد کم کرنے والي دو1
aspiring,عالي دماغ ـ بلند حوصله
asquint,ترچھي نظر سے
ass,احمق ـ گدھا ـ بيوقوف
assail,مارنا ـ حمله کرنا
assailable,چڑھائي کرنے کے قابل
assailant,حمله آور
assassin,مارنے والا
assassinate,فريب سے مارنا ـ چھپ کر قتل کرنا
assassination,فريب کا قتل ـ خفيفه قتل
assassinator,دغا سے قتل کرنے والا
assassine,فريب سے مارنے والا ـ مکار قاتل
assault,چڑھائي ـ حمله
assaultable,جس پر حمله هو سکے
assaulter,حمله کرنے والا
assay,جانچنا ـ پرکھنا
assayable,کسوٹي پر گھسنے کے قابل
assayer,پرکھنے والا
assemblage,هجوم ـ انيوه ـ مجمع
assemble,جمع کرنا يا هونا
assembler,جمع کرنے والا
assembly,فوجوں کا اجتماع
assent,منظور کرنا ـ تسليم کرنا ـ راضي هونا ـ قبول کرنا
assenter,ماننے والا
assentient,ماننے والا ـ تسليم کرنے والا
assentor,ماننے والا
asseredness,يقيني هونا
assert,حق جتانا ـ دعوي سے کهنا
assertable,زور سے کهنے کے لائق
asserter,دعوي سے کهنے والا
assertion,ادعا ـ دعوي
assertive,دعوي سے کهنے والا
assertively,بد کر ـ قطعي طور پر
assertiveness,قطعيت
assertor,جمائتي
asses,اندازه کرنا ـ قيمت لگانا
assessable,ٹيکس لگانے کے قابل
assessably,تشخيصا ـ تخمينا
assessment,تشخيص
assessor,ٹيکس مقرر کرنے والا
asset,اثاثه ـ جائداد ـ پونجي
asseverate,حتمي طور پر کهنا
asseveration,حلفيه بيان
assiduity,سخت محنت
assiduous,گهري توجه کرنے والا
assiduously,انهماک کے ساتھ
assiduousness,محنت شاقه ـ توجه
assign,لگانا ـ حواله کرنا ـ منسوب کرنا ـ مقرر کرنا
assignable,قابل تفويض ـ قابل حوالگي
assignation,خفيه ملاقات کا دعوي
assignee,منتظم ـ کارکن
assignment,اظهار وجوه ـ توجه
assignor,ٹھهرانے والا ـ مقرر کرنے والا
assimilability,جذب کرنے کي قابليت
assimilable,هضم کرنے کے قابل
assimilate,ملا دينا ـ يکساں کرنا
assimilation,هضم ـ جذب
assimilative,هضم کرنے والا
assimilator,يکساں کرنے والا
assimilatory,هضم کرنے والا ـ هاضم
assissinate,چھپ کر قتل کرنا ـ فريب سے مارنا
assissination,فريب کا قتل
assissinator,دغا سے قتل کرنے والا
assist,مدد کرنا
assistance,مدد ـ اعانت
assistant,مددگار
assize,تحقيقات جيوري ـ عدالت فوجداري
associability,تلازم پذيري
associable,جو خيال ميں کسي دوسري چيز کے ساتھ ملايا جا سکے
associate,شريک ـ ساتھي ـ رفيق ـ هم نشين
association,دوستي ـ مجلس ـ بے تکلفي
associative,ملانے والا ـ ربط قائم کرنے والا
associator,رفيق ـ شريک
assonance,هم آهنگي ـ مشابهت
assonant,هم آهنگ ـ هم آواز
assort,ساتھ ساتھ رکھنا ـ ساتھي هونا ـ شريک هونا
assorter,ساتھ ساتھ رکھنے والا
assortment,درجه بندي
assuage,تسلي دينا ـ کم کرنا ـ هلکا کرنا
assuagement,تخفيف ـ دلاسا ـ تسکين
assumable,فرض کرنے کے قابل
assumably,بالفرض
assume,قبول کرنا ـ اختيار کرنا
assuming,برخود غلط ـ تعلي کرنے والا
assumption,ذمه داري ـ شيخي
assumptive,فرضي ـ تعلي باز
assurance,بھروسا ـ ضمانت بيمه ـ گستاخي
assure,اطمينان کر لينا
assuredly,بے شک ـ بلاشبه
assuredness,يقيني هونا ـ يقين
assurer,اطمينان دلانے والا
assurgent,ٹھاٹھيں مارتا هوا ـ حمله آور
astatic,متحرک
aster,رنگين پھول
asterisk,عيارت پر ستارے کا نشان لگانا
astern,عقب ميں
asteroid,ايک قسم کي آتش بازي
asthma,سانس کا رکنا
asthmatic,دمے ميں مبتلا
astir,حرکت ميں ـ چلتا پھرتا ـ بيدار
astonish,ششدر کرنا ـ حيرت ميں ڈالنا
astonishment,تعجب ـ حيرت
astound,حيران کرنا ـ هکا بکا کر دينا
astounding,دنگ کرنے والي ـ نهايت عجيب
astraddle,گھوڑے پر بغير زين کے سواري کرنا
astrakhan,استراخاني ٹوپي
astral,تاروں جيسا ـ ستاروں کے متعلق
astray,گم کرده راه ـ غلط راستے پر
astrict,مضبوط باندھنا ـ پابند کرنا ـ جکڑنا
astriction,بندش ـ پابندي
astrictive,سکيڑنے والا ـ قابض
astride,گھوڑے پر ٹانگيں لٹکا کر بيٹھے هوئے
astringe,قبض پيدا کرنا ـ جکڑنا
astringent,تيز ـ خشک
astringently,تندي سے ـ تيزي سے
astrolabe,آفتاب اور ستاروں کا بلندي معلوم کرنے والا آله
astrologer,نجومي ـ جوتشي
astrology,جوتش ـ نجوم
astronomer,علم فلکيات کا عالم
astronomical,اجرام فلکي کا
astronomically,فلکياتي طور پر
astronomy,ستاروں کا علم
astute,هوشيار ـ عيار ـ چالاک
astutely,چالاکي سے
astuteness,عيار ـ چالاکي
asunder,جدا جدا ـ الگ الگ
asylum,پناه ـ غريب خانه
at,ميں ـ پر ـ کے ـ سے ـ طرف
aternating,بطرق آخر ـ بصورت ديگر
atheism,بے ديني ـ کفر
atheist,بے دين ـ کافر
atheistic,کافرانه ـ نے دينوں جيسا
atheistically,بے ديني کي رو سے
athirst,آرزو مند ـ تشنه
athlete,قوي هيکل ـ کھلاڑي ـ پهلوان
athletic,کھيل کے متعلق
athletically,ورزشي طور پر
athleticism,جسماني تنومندي کا نظريه
athwart,آر ميں ـ ترچھا
atlanta,اٹلانٹا
atlantic,کوه اطلس کے متعلق
atlas,نقشوں کي کتاب ـ کوه اطلس
atmosphere,فضا ـ ماحول
atmospherical,هوائي ـ فضائي
atmospherically,فضائي طور پر
atom,چھوٹا سا
atomic,جوهري
atomical,ايٹم کي بابت ـ جوهر کے متعلق
atomically,جوهري طور پر
atomism,نظريه جوهري
atomist,جوهري نظريه کا قائل
atomize,سالمه کو جوهردار بنانا
atomizer,ايسا آله جس سے سيال ماده چھڑکا جا سکے
atomy,چھوٹا ذره
atone,کفاره دينا ـ دشمنوں سے صلح کرنا
atonement,کفاره
atop,اوپر ـ چوٹي پر
atrabilious,ترش مزاج ـ خطني ـ چڑچڑا
atrocious,ظالم ـ بدذات
atrociously,نهائت ـ بري طرح
atrociousness,پاجي پن ـ خياثت
atrocity,انتهائي حماقت
atrophy,لاغري ـ سوکھا
atropine,عرق مکو
attach,نتھي کرنا ـ عائد کرنا ـ ملانا ـ منسلک کرنا
attache,نائب ايلچي
attacher,ملانے والا
attachment,منسلک هونا ـ محبت ـ پيار
attack,ٹوٹ پڑنا ـ حمله کرنا ـ ضرر پهنچانا
attackable,حمله کرنے کے قابل
attacker,حمله آور
attain,پورا کرنا ـ تکميل کو پهنچانا ـ حاصل کرنا
attainability,حاصل کرنے کا امکان
attainable,جس کا حاصل هونا ممکن هو
attainableness,حاصل هونے کي صلاحيت
attainder,وراثت سے محرومي
attainment,قابليت ـ هنر
attar,عطر
attemper,آميزش کرنے والا  ـ ملانا ـ ٹھنڈا کرنا ـ سازگار بنا لينا
attemperment,هم آهنگي ـ اعتدال
attempt,کوشش کرنا ـ جدجهد کرنا
attemptable,سعي کرنے کے قابل
attend,غور کرنا ـ مشغول هونا ـ توجه کرنا
attendance,حاضري
attendant,خدمت گزار ـ خدمت گار
attention,خيال ـ توجه ـ دھيان
attentively,پوري توجه سے
attentiveness,التفات ـ دھيان
attenuate,تخفيف کرنا ـ هلکا کرنا ـ پتلا کرنا
attenuation,کمي ـ تخفيف
attest,گواه هونا ـ تصديق کرنا
attestation,تصديق ـ حلفيه اقرار
attestator,تصديق کننده حاکم ـ تصديق کرنے والا
attestor,تصديق کرنے والا
attic,بالاخانه ـ کھرا ـ اصلي
atticism,شيرني گفتار ـ فصاحت
attire,لباس پهننا ـ سنوارنا
attitude,رويه ـ انداز ـ طرز
attitudinize,بناوٹ سے بولنا
attorn,پٹه تبديل کرنا ـ قانوني طور پر منتقل کرنا
attorney,وکيل ـ مختار
attorneyship,مختاري ـ وکالت
attornment,تبديلي پٹه
attract,گرويده کرنا ـ کشش کرنا
attractability,کھينچنے کي قوت يا صلاحيت
attractable,کشش سے متاثر هونے والا
attraction,دلکشي ـ کشش
attractive,گروبده کرنے والا
attractively,دلکشي سے
attractiveness,کشش ـ دلکشي
attributable,منسوبي
attribute,منسوب کرنا
attribution,خاصيت ـ لگاؤ
attributive,صف
attributively,بلحاظ صفات
attrition,ندامت ـ پچھتاوا
attune,هم آهنگ کرنا
auburn,سرخي مائل ـ سنهري
auction,نيلام
auctioneer,نيلام کرنے والا
audacious,بے ادب ـ گستاخ
audaciously,جرأت سے ـ گستاخانه
audaciousness,دليري ـ جرأت
audacity,جي دار ـ جرأت
audibility,سنے جانے کي صلاحيت
audible,سنائي دينے والا
audibleness,سنے جانے کي صلاحيت
audibly,بلند آواز سے
audience,سامعين ـ رسمي ملاقات
audit,حساب کي جانچ پڑتال
audition,کان لگا کر سننا
auditive,سماعت کے متعلق
auditoffice,محاسب کا دفتر
auditor,حساب کي جانچ پڑتال کرنے والا
auditorial,محاسبانه
auditorium,سامعين کے بيٹھنے کي جگه
auditorship,عهده تنقيح ساز
auditory,مجمع سامعين
auditress,تنقيح ساز خاتون
auditroom,حساب کتاب کے دفتر کا کمره جو گرجاؤں ميں هوتا هے
augaean,غليظ ـ گنده
auger,برما
aught,کوئي بات ـ کچھ
augment,زياده کرنا ـ بڑھانا
augmentation,سر کو کھينچنا
augmentative,بڑھنے والا
augmenter,سر کو کھينچنے والا
augur,فال کھولنا ـ پيشين گوئي کرنا ـ شگون کرنا
augural,پيشين گويانه ـ شگون کے متعلق
augurer,پيشن گوئي کرنے والا
augury,فال ـ شگون
august,اگست ـ بلند پايه ـ عالي شان
augustly,شاھانه طور پر
augustness,بڑي شان
auk,شمالي ممالک کا پرنده
aunt,خاله ـ پھوپھي ـ چچي ـ مماني
aura,پھولوں کي خوشبو
aural,کان پر پڑي هوئي
aurally,سماعي طور پر
aureola,شعاعوں کا حلقه
aureole,نوراني تاج
aurevoir,پھر مليں گے ـ خدا حافظ ـ في امان اﷲ
auric,سونے کا ـ طلائي
auricle,دل کے خانوں کے پردے ـ کان
auricular,راز کے طور پر کها هوا
auriferous,جس سے سونا نکلے
auriform,گوش پيکر ـ کان کي شکل کا
aurist,کان کے مرض کا ماهر
aurora,طلوع صبح
auroral,صبح ـ گاهي ـ سحري
auspicate,نيک فال هونا ـ ابتدائ کرنا ـ بنياد رکھنا
auspice,پرندوں سے شگون ـ فال
auspicious,آسوده ـ خوشحال
auspiciously,مقدس طور سے
auspiciousness,برکت ـ نيک شگون
aussie,آسٹريليا کا باشنده
austere,سادگي پسند
austerely,کثر پن سے
austereness,زهد ـ سادگي
austerity,سادگي
australia,آسٹريليا
australian,آسٹريليا کے رهنے والے
austria,آسٹريليا يا ملحقه جزائز کا رهنے والا
austrian,آسٹرين
authentic,تحقيق شده
authentically,قابل اعتماد طريقے سے
authenticate,صداقت ثابت کرنا
authentication,تصديق
authenticator,تصديق کرنے والا
authenticity,تحقيق شده هونا
author,مؤلف ـ مصنف
authoress,مؤلفه ـ مصنفه
authorial,موجدانه ـ مصنفانه
authoritative,مستند ـ معتبر ـ تحکمانه
authoritatively,مصدقه طور پر
authority,عهده ـ اختيار
authorizable,قابل جواز
authorization,جواز ـ حکم
authorize,جواز نکالنا
authorizer,جواز نکالنے والا
authorship,کتابيں لکھنے کا پيشه
auto car,انجن سے چلنے والي گاڑي
autobiographer,آپ اپني زندگي کے سوانحٔ حيات لکھنے والا
autobiographic,خود نوشتگي کے متعلق
autocracy,خود مختاري
autocrat,جابر ـ خود مختار
autocratic,استبدادي
autocratically,ظالمانه طريقے سے
autocratrix,خود مختار رائي ـ خود مختار ملکه
autogiro,ايک هوائي جهاز جو اپنے دھرے پر گھومتا هے
autograph,مصنف کا قلمي مسوده ـ اپنے هاتھ کي تحرير
autographic,خود نوشته
autographically,خود نوشتگي کے متعلق
autography,خود نوشتگي ـ اپني تحرير
automatic,خود کار
automatical,خود بخود کام کرنے والا
automatically,آپ سے آب ـ خود بخود
automaticity,آپ چالو پن ـ خود کاريت
automation,کٹھ پتلي ـ خود بخود چلنے والي
automatism,جيلي حرکت ـ غير ارادي حرکت
automobile,موٹر گاڑي
autonomic,خود اختياري
autonomist,نظريه خود اختياري کا پيرو
autonomous,خود مختاري
autonomy,اختيار ـ آزادي
autopsy,ذاتي نگراني ـ لاش کي چيڑ پھاڑ
autotype,عکس يا چربا ـ هو بهو نقل
autumn,خزاں ـ پت جڑ
autumnal,خزاں کے متعلق
auxiliary,مددگار ـ معاون
auxillary,امدادي فوج ـ معاون
avail,مدد ـ طلب ـ کام ميں لانا
availability,دستيابي
available,کارآمد ـ قابل دستيابي
availableness,دستيابي
availably,پر اميد طور پر ـ کار آمد طور پر
avalanche,برف يا مٹي کا طوفان
avarice,لالچ ـ طمع
avaricious,لالچي ـ طامع
avariciously,لالچ سے ـ طمع سے
avatar,ديوتا ـ مظهر
avaunt,دفع هو ـ دور هو
avenge,بدله لينا ـ انتقام لينا
avenger,انتقام لينے والا
avenging,انتقام
avenue,راسته ـ راه
aver,حتمي طور پر ـ بيان کرنا
averable,دعوے سے کهنے کے قابل
average,اوسط درجے کا  ـ متوسط
averagely,اوسطاً
averment,دعوي ـ حتمي بيان
averse,ناخوش ـ ناراض ـ متنفر
averseness,تنفر ـ بيزاري
aversion,نفرت ـ کراهت
avert,پھيرنا ـ موڑنا ـ دور کرنا
avertable,دور کئے جانے کے قابل
avertible,دور کئے جانے کے قابل
aviary,چڑيا خانه ـ چڑيا گھر
aviate,هوا بازي کرنا
aviation,طياره رائي ـ هوا بازي
aviator,هوا باز
avid,مشتاق ـ حريص
avidity,حرص ـ آرزو ـ لالچ
avidly,مشتاقانه ـ آرزو مندانه
avidty,آرزو ـ حرص
avocate,عدالت عاليه ميں مرافعه کرنا
avocation,کام ـ پيشه
avoid,پرهيز کرنا ـ الگ کرنا
avoidable,قابل اعتراز
avoidance,بچاؤ ـ اعتراز
avoider,احترام کرنے والا
avouch,اقبال کرنا ـ تسليم کرنا ـ ضمانت دينا
avoucher,ضمانت دينے والا ـ تسليم کرنے والا
avouchment,اقرار ـ اقبال
avow,اقرار کرنا ـ مان لينا
avowable,ماننے کے قابل
avowal,اقبال ـ اعتراف
avowedly,مسلمه طور پر
avower,اعتراف کرنے والا
await,انتظار کرنا ـ راه ديکھنا ـ منتظر رهنا
awaiter,انتظار کرنے والا
awake,اٹھنا ـ جاگنا ـ بيدار هونا ـ هوشيار کرنا
awaken,اٹھنا ـ جاگنا ـ هوشيار هونا
award,حکم دينا ـ فيصله کرنا ـ عطا کرنا
awarder,عطار کرنے والا
aware,آگاه ـ واقف
away,ايک طرف ـ دور ـ الگ
awe,خوف ـ احترام ـ ڈر ـ جلال
aweless,بے خوفي
awfulness,جلال ـ وقار
awhile,کچھ عرصے کے لئے
awkward,بد سليقه
awkwarder,پريشان کرنے والا
awkwardish,بھدا سا ـ بد وضع
awkwardly,بھونڈے پن سے
awkwardness,ناکاره پن
awl,موچيوں کا سپنے کا اوزار ـ سوا ـ ستاري
awn,جوار يا مکتي کے ريشے
awned,روتيں دار ـ ريشے دار ـ بال دار
awning,سايه بان ـ نمگيره
awnless,بے ريشه ـ بے بال
awoke,جاگا هوا
awoken,جاگايا هوا
awro,کج ـ ٹيڑھا ـ ترچھا
ax,کلهاڑي ـ تيشه
axil,بغل
axillary,بغل کے متعلق
axiom,جامع کلمه
axiomatic,بااصول
axiomatically,بدهيي طور پر
axis,محور ـ دھرا
axle,دھرا ـ گول لکڑي
ay,هاں
aye,هر موقع پر
azimuth,قوس آسماني جو افق کو زاويه قائمه پر کاٹتي هے
azoic,مرده
azote,هاهڈروجن کا قديم نام
azotic,هاهڈروجني
azotize,هاهيڈروجن سے ملانا يا بھرنا
azure,آسماني ـ نيگوان
