m,انگريزي حروف تهجي کا تيرھواں حرف
ma,ماں ـ امي ـ اماں ـ امي جان ـ ممي
maam,بيگم ـ خاتون ـ نواب بيگم ـ حضور
mab,پريوں کي ملکه ـ خواب لانے والي
macabre,هيبت ناک ـ ڈراؤنا
macaco,ايک قسم کا بندر
macadam,کٹي هوئي کنکر کي سڑک
macadamize,کنکراهت ڈالنا
macaroni,آٹے کي سوياں
macaronic,نظم جس ميں کئي زبانيں استعمال کي گئي هوں ـ کھچڑي ـ معجون مرکب
macaroon,ميٹھي بادامي روٹي
macartney,تيتر کي ايک قسم کا پرنده
macassar,سر ميں ڈالنے کا خوشبودار تيل
macaw,مکاؤ کا طوطا
maccaboy,ايک قسم کي ناس جو عطر گلاب ميں بسائي جاتي هے
mace,عصا ـ لاٹھي ـ جاوتري
macerate,بھگو کر نرم کرنا ـ گھلانا ـ دبلا کرنا
macerater,گھلانے والا
macerating,بھگونا
maceration,نفس کشي ـ گداخت
macerator,فاقے کرکے دبلا کرنے والا
macherelsky,هلکے سفيد بادلوں سے ڈھکا هوا آسمان
machiavelli,در رخا مدير ـ عيار
machiavellian,در رخي ـ عيارانه ـ شاطرانه
machicolate,شهر کي فصيل ميں سوراخ بنانا تاکه حمله آوروں پر پتھر پھينکے جا سکيں ـ روزن بنانا
machinate,تدبير کرنا ـ سازش کرنا ـ ريشه دواني کرنا
machination,فتنه پردازي
machinator,عيار ـ چال باز
machine,آله جرثقيل ـ سياسي نظام مشين
machinelike,مشين کي طرح
machinery,الات جرثقيل
machinist,مشين بنانے يا چلانے والا
machlet,بڑا چاقو ـ چھرا
mackerel,ايک سمندري مچھلي جس کا گوشت لذيذ هوتا هے
mackintosh,برساتي
maconochie,ڈبوں کا دم پخت گوشت
macrame,بٹے هوئے دھاگے کي جھالر
macron,بڑا مد ـ خط
macula,داغ ـ دھبه
maculate,دھبے هونا
maculation,داغ هونا ـ دھبے هونا
mad,پاگل ـ ديوانه ـ جنوبي ـ سوداني ـ باولا ـ برهم
madagascar,مڈغاسکر ايک ملک کا نام
madam,بي بي ـ بيگم ـ خاتون ـ خانم
madame,ميڈيم کي فراسيسي شکل
madden,پاگل هونا يا کرنا ـ ديوانه بنانا ـ طيش دلانا
maddeningly,ديوانگي کے ساتھ
made,بنايا هوا ـ بنا هوا
madeira,جزيرا مديرا کي سفيد انگوري شراب
mademoiselle,کنواري دوشيزه
madhouse,پاگل خانه
madness,شوريده سري ـ ديوانگي ـ خبط
madonna,حضرت مريم کي تصوير يا مجسمه ـ بي بي صاحبه
madrepore,مونگے کے درخت ـ مرجان کے جراثيم
madrigal,غزل ـ عاشقانه گيت
madwoman,پاگل عورت
maecenas,ادب يا آرٹ کا سرپرست ـ اهل هنر کا قدردان
maelstrom,گرداب ـ بھنور
maffick,خوشيا منانا ـ رنگ رلياں رچانا
magazine,رساله ـ اخبار ـ گودام
maggot,کيڑا ـ کيڑے کا پهلا روپ
magi,آتش پرست ـ جادوگر
magian,مجوسي آتش پرست ـ مغ
magic,جادو ـ سحر
magician,جادوگر ـ ساحر
magisterial,حاکمانه ـ عدالتي
magistracy,نظامت فوجداري ـ ناظم فوجداري کا عهده
magistral,آقا کا ـ مالک کا
magistrate,حاکم عدالت
magistrateship,مجسٹريٹ کا عهده
magna,انساني حقوق اور آزادي کا منشور
magnanimity,فراخ دلي
magnanimous,عالي حوصله ـ بلند حکمت
magnate,مشهور آدمي ـ بڑا آدمي
magnesia,ايک قسم کي سفيد مٹي
magnesium,ايک معدني عنصر
magnet,مقناطيس ـ جاذب شے
magnetic,مقناطيس ـ جاذب
magnetics,علم مقناطيس
magnetism,قوت کشش
magnetite,مقناطيسي لوها
magnetizable,مقناطيسي قوت پيدا کرنے کے قابل
magnetization,مقناطيسي خاصيت پيدا کرنا
magnetize,مقناطيسي خاصيت پيدا کرنا
magnetizer,مقناطيسي خاصيت پيدا کرنے والا
magnification,بڑھا چڑھا کر دکھانا ـ مبالغه
magnificence,کروفر ـ شان و شوکت ـ رونق
magnifier,بڑا کرکے دکھانے والا شيشه
magnify,چھوٹي چيز کوبڑا دکھانا ـ بڑھا چڑھا کر بيان کرنا
magniloquence,عبارت آرائي
magniloquent,شيخي باز ـ شاندار
magnitude,قد قامت ـ ڈبل ڈول ـ عظمت
magnolia,ايک خوش رنگ پتوں کا درخت
magnum,ايک قسم کا زرد آلو جو پکانے کے کام آتا هے
magpie,ايک يورپي پرنده
magus,آتش پرست ـ ساحر
magyar,ميگيار ـ ميگياري زبان
maharajah,مهاراجا
maharanee,مهاراني
maharani,مهاراني
maharishi,مهارشي
mahatma,مهاتما
mahdi,امام مهدي جن کا انتظار هے ـ آخري هادي جس کا وعده کيا گيا هے
mahogany,ايک قسم کي سخت اور سرخ لکڑي جو امريکه ميں پائي جاتي هے
mahout,فیل بان ۔
maid,لڑکي ـ کنواري لڑکي ـ لونڈي
maiden,لڑکي ـ کنواري دوشيزه
maidenhood,دوشيزگي ـ بکارت
maidenlike,کنواريوں جيسا
maidenly,شرم آگين ـ حيا دار
maidish,بيجا شرم و حيا کرنے والي
maidservant,لونڈي ـ نوکراني
mail,زره ـ زره بکتر ـ جوشن ـ چار آئينه ـ ڈاک ـ ڈاک ميں خط ڈالنا
mailbag,ڈاک کا تھيلا
mailbox,ڈاک کا صندوق
mailer,خط ڈالنے والا
maim,قطع کرنا ـ کاٹنا
maimer,قطع کرنے والا
main,اهم ـ عظيم ـ فراخ ـ کشاده
mainly,زياده تر ـ بيشتر ـ بالخصوص
mainstay,سب سے اهم شخص
maintain,برقرار رکھنا ـ قائم رکھنا ـ قابو ميں رکھنا ـ پاس رکھنا
maintainable,حفاظت کرنے کے قابل
maintainer,حفاظت کرنے والا
maintenance,پرورش ـ سهارا ـ گزارا
maize,مکئي
maizena,جوار کا آٹا ـ مکئي کا آٹا
majestic,پرشکوه ـ شاندار
majesty,شان ـ جاه و جلال
major,فوجي عهديدار ـ بڑا ـ بزرگ تر
majority,بڑائي ـ بزرگي ـ بڑي تعداد ـ زيادتي
makable,بنانے کے قابل
make,بنانا ـ پيدا کرنا ـ مرتب کرنا ـ وضع کرنا
makeable,بنانے کے قابل
maker,بنانے والا ـ خدائے تعالے
makeup,سنوارنا ـ سنگھارنا
making,دستکاري ـ ترکيب
mala,شهر ملا
malacca,شهر ملا کا ـ سرخي مائل بيد
malaccacane,بيد کي چھڑي ـ ملا کي بيد
maladjustment,بے آهنگي ـ عدم مطابقت ـ بے ترتيبي
maladroit,اناڑي ـ بھدا
maladroitly,اناڑي پن
malady,نقص طبع ـ فساد فکر
malafide,بے ايماني سے ـ بد نيتي سے ـ ناجائز
malapert,شوخ ـ بے ادب ـ گستاخ
malapertly,گستاخي ـ بے ادبي
malaprop,بے تکا پن
malapropos,بے جا ـ بے محل ـ بے موقع
malaria,مليريا بخار
malarial,مليريائي
malarious,مليريا بھري
malaysia,ملائيشيا ـ ملک کا نام
malaysian,ملائشيا کے رهنے والے
malcontent,حکومت سے ناراض ۔ ناخوش ۔ غیر مطمئن ۔
male,مرد ـ مذکر
maledict,بددعا دينا ـ بري خواهش کرنا
malediction,بددعا ـ بري خواهش ـ سراب
malefaction,بدمعاشي ـ جرم
malefactor,بد معاش ـ ايذا دينے والا
maleficent,باعث ايذا
malevolence,بد انديشي ـ بد خواهي
malevolent,بد خواه ـ بد انديش
malevolently,بد انديشي
malfeasance,بد عنواني ـ رشوت ستاني
malfeasant,ناجائز افعال کرنے والا
malformation,ناقص ساخت ـ بري بناوٹ
malice,عداوت ـ کينه
malicious,کينه ور ـ حاسد
malign,حسد سے ديکھنا ـ تکليف پهنچانا
malignancy,بدخواهي ـ دشمني
malignant,بد خواه ـ بدانديش
maligner,بيماري کا بهانه کرنا
malignity,دشمي ـ کينه توزي ـ خباثت ـ سختي
malingerer,بيمار بننے والا
malism,يه نظريه که دينا بري هے
mallard,جنگلي بطخ
malleable,کوٹ پيٹ کر بڑھ جانے والي ـ پھيلنے والي ـ لوچدار
mallet,پولو کھیلنے کی لکڑی ۔ چوگان ۔
mallow,جنگلي پودا
malmaision,ايک سرخ رنگ کا پھول
malmsey,ميٹھي انگوري شراب
malnutrition,غذائيت کي کمي ـ ناکافي غذا پهنچنا
malodorous,بد بودار
malpractice,بدعنواني ـ بے ضابطگي
malt,اناج يا جو کا شعيره بنانا
maltese,مالٹا کا باشنده
malthusian,ماتھسن کا پيرو ـ نظريه ضبط نفس
maltreat,بد سلوکي کرنا ـ بري طرح پيش آنا
maltreatment,نازيبا برتاؤ ـ کن ادائي
malversation,بدچلني
mam,بچوں کي زبان ميں ماں
mamelon,گول بلند ٹيکرا ـ گول پهاڑي
mameluke,مملوک ـ کوه قاف کے غلام
mamilla,پستان کا منه ـ سرپستان
mamma,تھن
mammal,تھن والے جانور
mammee,ممي
mammiferous,پستان دار ـ تھن والے
mammon,کوبر ـ قارون ـ مال ـ دولت کا بھوت
mammonist,دنيا پرست
mammonite,زر پرست
mammonizm,دنيا پرستي
mammoth,فيل پيکر ـ بهت بڑا
mammy,ممي ـ اماں
man,آدمي ـ انسان ـ مرد ـ فرد
manacle,هتھکڑي ـ زنجير ـ بيڑي
manage,انتظام کرنا ـ اهتمام کرنا ـ چلانا ـ بنانا
manageable,قابل انتظام ـ خوش لگام
manageableness,قابه ميں هونا ـ انتظام پذير هونا
management,عمده بندوبست ـ خوش انتظامي
manager,منظم ـ ناظم ـ کارکن ـ مينجر
manageress,ناظمه
managerial,انتظامي
managership,منتظم کا عهده
managing,انتظامي
manatee,سمندري گائے
manchester,مانچسٹر
mandala,منڈيلا
mandamus,پروانه ـ حکم نامه
mandarin,ملک چين کا عامل
mandatary,جس شخص کو بذريعه حکم کوئي اختيار ديا جائے
mandate,فرمان ـ حکم ـ منشور ـ هدايات جو رائے دهنده اپنے نمائندے کو ديں
mandator,رائے دينے والے
mandatory,حکم کے متعلق ـ لازمي
mandible,جانوروں کا جبڑا
mandibular,جبڑے کے متعلق
mandola,سارنگي کي قسم کا بڑا سا باجا
mandolin,سارنگي کي طرح کا باجا
mandrake,ايک زهريلا پودا
mandrel,خراد کي نوک دار کھونٹي
mandrill,بڑا بد شکل بندر
manducate,کاٹنا ـ چبانا ـ کھانا
mane,گردن کے بال
manful,جوان مرد ـ بهادر
manfully,جوان مردي
manganese,ايک دھات جو شيشه گري کے کام آتي هے
mange,اون دار جانوروں کي جلدي بيماري
manger,کونڈا ـ جانوروں کے جاره دانه کھانے کا کٹھلا
mangle,ٹکڑے ٹکڑے کرنا ـ دھجيا بکھيرنا ـ صورت بگاڑ دينا
mangler,ٹکڑے ٹکڑے کرنے والا
mango,آم
mangonel,منجيق ـ فلاخن کي کل
mangotrick,آم کا شعبده
mangrove,ايک درخت
mangy,خارش والا
manhole,بڑا سوراخ
manhood,جوان مردي
mania,خال دماغ ـ خبط
maniac,سوداني ـ ديوانه
manicure,هاتھ اور ناخن کي صفائي اور رنگائي
manifest,آشکار کرنا ـ عياں کرنا ـ واضح کرنا ـ صاف صاف دکھانا ـ فاش کرنا ـ ظاهر کرنا ـ مترشح کرنا
manifestable,ظاهر کرنے کے قابل
manifestation,اعلان ـ تجلي ـ ظهور
manifesto,اعلان ـ اشتهار ـ منادي
manifold,گوناگون ـ طرح طرح کا
manikin,چھوٹا آدمي ـ بونا ـ مردک
manilla,دھات کا کڑا جو افريقه کے قبيلے مبادله کے طور پر استعمال کرتے هيں
manioc,روا  ـ سوجي
maniple,سپاهيوں کا فوجي دسته
manipulatable,سلجھانے کے قابل
manipulate,سليقه سے کام کرنا ـ سلجھانا ـ ساز باز کرنا
manipulation,دستکاري ـ کار پردازي
manipulator,خوش اسلوبي سے سر انجام دينے والا
mankind,بني نوع انسان ـ بني آدم
manlike,مردوں کي طرح ـ مردانه وار
manliness,جوان مردي
manly,مردانه ـ مردانگي سے ـ بهادرانه
manna,من ـ شير خشت ـ روحاني غذا
mannequin,عورت جو لباس پهن کر گاهکوں کو دکھائے
manner,صورت ـ شکل ـ نقشه ـ وضع ـ قطع ـ طرز ـ دھنگ ـ طريقه ـ انداز ـ بيان ـ آداب و رسوم
mannerism,راه رسم کي پابندي
mannerist,خاص وضع اور انداز کا ديوانه ـ راه رسم کا پابند
mannerly,شائسته ـ خليق ـ مهذب
mannish,مردوں کي سي صفات رکھنے والي ـ مرداني
manoeuver,داؤں ـ گھات ـ چال ـ ترکيب
manoeuvering,چالاکي ـ داؤں
manoeuvre,داؤں کرنا ـ چالاکي کرنا ـ خوش اسلوبي سے کام کرنا
manor,جاگير ـ زمينداري
manorhouse,کوٹھي ـ حويلي ـ محل
mansard,دو رويه سلامي والي چھت
manse,گرجے کا ملحقه مکان ـ چوهان
mansion,محل سرا ـ بڑا مکان
mantel,آتش دان کے اوپر کا تخته ـ کارنس
mantic,پيشين گوئي کے متعلق ـ غيب داني کا
mantle,چوغه پهننا ـ چھپا لينا ـ گھير لينا
manual,رساله ـ دستي کتاب ـ دستورالعمل
manufactory,فيکٹري ـ کارگاه ـ کارخانه
manufacturable,بنانے کے قابل
manufacture,بنانا ـ دست کاري کرنا ـ کارخانه چلانا
manufacturer,صنعت کار ـ کاريگر
manumission,غلاموں کي آزادي ـ غلامو کي رهائي
manumit,غلامي سے آزاد کرنا
manure,گوبي کي کھاد
manuscript,قلمي ـ هاتھ کي لکھي هوئي کتاب
many,بهت سے ـ متعدد ـ بڑي تعداد ميں ـ بهت آدمي
map,نقشه ـ ملک کا نقشه ـ نقشه بنانا ـ نقشه هونا
maple,ايک درخت جس سے شکر ملتي هے
mapmaker,نقشه بنانے والا
mar,ضرر پهنچانا ـ خراب کرنا
marabou,مغربي افريقه کا سارس
marathon,بڑي لمبي دوڑ
maraud,غارت گري کرنا ـ لوٹ مار کرتے پھيرنا ـ ڈاکه ڈالنا
marauder,ڈاکو ـ غارت گر
marauding,غارت گري
marble,سنگ مرمر ـ کھيلنے کي گولي
marblehearted,کٹھور ـ سنگدل
marblepaper,ابري کا کاغذ
marc,پھلوں کا پھوکا
marcel,بالوں ميں مصنوعي لهر ـ خاص قسم کي لهر
march,تيسرا مهينه ـ سرحدي علاقه ـ ملے هوئے ـ روانگي ـ سفر
marcher,قدم ملا کر چلنے والا
marchioness,مار کوئيس کي بيوي ـ مارشينس
marconi,مار کوئي طريقه پيام رسائي
marconigram,تار جو مار کوئي طريقه لاسلکي بے بھيجا جائے
mare,گھوڑي ـ ماده
margarine,مکھن جيسي چيز
margays,جنوبي امريکه کا ايک جانور
margin,کناره ـ حاشيه ـ آخري حد ـ گوٹ
marginal,حاشيه کا ـ حاشيه پر لکھا هوا
marginalia,حاشيه کي تحرير
marguerite,ايک قسم کا ڈيزي کا پھول
maria,حضرت مريم
marigold,گل مريم ـ صد برگ
marinade,مسالے ـ شراب اور سرکے کے اچار
marine,بحري ـ دريائي ـ سمندري
mariner,ملاح ۔ جہاز ران ۔
marionette,کٹھ پتلي
marital,ازدراجي ـ شادي کے متعلق
maritime,ساحلي ـ بحري
mark,نشان کرنا ـ علامت کرنا ـ داغنا ـ غور کرنا ـ دھيان کرنا
marker,نشان لگانے والا ـ گننے والا
market,بازار ـ منڈي
marketable,قابل فروخت
marking,نشان اندازي
marksman,نشانه باز ـ قادر انداز
markup,سزا ـ جرمانه
marl,زرخيز مٹي
marmalade,نارنگي کا مربه
marmoreal,سنگ مرمر کا
marmoset,گھني دم والا  امريکي بندر
marmot,گلهري کي قسم کا ايک جانور
marocain,ایک قسم کا ریشمی کپڑا ۔ سوتی کپڑا مارکین ۔
maroon,بادامي قرمزي رنگ
marque,اجازت نامه ـ دشمن کے تجارتي جهازوں کو پکڑنے کا حکم نامه
marquetry,ميناکاري
marquis,بواب ـ دوسرے درجے کا بڑا خطاب
marquise,مار کوئز کي بيگم
marriage,شادي ـ بياه ـ عقد ـ اتحاد
marriageable,شادي کے لائق
married,شاده شده
marrow,مغز ـ گودا ـ هڈي کا گودا
marrowy,مغز دار
marry,نکاح پڑھانا ـ بياه کرنا ـ شادي کر دينا
marse,مريخ
marseillaise,فرانس کا قومي نغمه
marsh,دلدل ـ گل آب
marshal,سپه سالار ـ جنرل ـ مير تازک
marshy,جو دلدل ميں پيدا هوا هو
marsupial,تھيلي دار ـ تھيلي دار جانور
mart,بازار ـ منڈي
martello,ساحلي قلعه ـ ملک کي حفاظت کے لئے ساحلي قلعه بندي
marten,نيولے کي طرح کا ايک جانور
martial,جنگي ـ حربي ـ عسکري ـ جنگ جو
martialize,جنگ جو بنانا ـ جنگ کے لئے تيار کرنا ـ فوجي بنانا
martially,جنگ جويانه ـ نجگي اصول کے مطابق
martian,مريخ کا باشنده
martin,ايک قسم کا ابابيل
martinet,وه شخص جو نظم و ضبط قائم رکھنے ميں سخت هو
martingale,زير بند ـ پيش بند ـ تنگ بند
martini,مارتيني رائفل
martlets,بے پر کا پرنده
martyr,جو اﷲ کي راه ميں شهيد هو ـ شهيد کرنا
martyrdom,شهادت ـ اذيت
martyrise,شهيد بننا ـ شهيد بنانا
martyrological,شهيدوں کے متعلق
martyrology,تاريخ شهدائ ـ شهادت نامه
martyry,روضه ـ درگاه ـ گرجا
marvel,حيران هونا ـ تعجب کرنا
marvelous,نادر ـ عجيب ـ انوکھي
marxian,جرمن اشترا کي کارل مارکس کا پيرو
mascot,باعث برکت چيز ـ تعويز
masculine,مذکر ـ مردانه ـ جوان
mash,ملنا ـ ملانا ـ کچلنا ـ کوٹنا ـ پيسنا ـ دلير ـ جاني ـ پيارا
masher,اپنے آپ کو کنھيا سمجھنے والا ـ چھيلا ـ بانکا
mashie,گلف کا آهني چوگان
mask,پرده ـ نقاب ـ برقعه ـ حليه
maskable,پردے کے قابل
masker,نقاب پوشي
mason,راج ـ معمار ـ کاريگر
masonic,فري ميسن برادري کا
masonry,معماري ـ راج کا کام
masque,ايک طرح کا شوقينوں کا ناٹک
masquerade,ريا کاري کرنا ـ بھيس بدلنا
masquerader,ريا کاري کرنے والا
mass,دعا جو عشائے رباني ميں پڑھي جاتي هے ـ ڈھير ـ انبار ـ توده
massacre,قتل عام ـ خون ريزي ـ بهت سے جانور ذبح کرنا
massacrer,خون ريزي کرنے والا
massage,جسم کي مالش کرنا
massager,مالش کرنے والا
massaging,مالش کرنا
massagist,مالشي
masseur,مالش کرنے والا
masseuse,مالش کرنے والي
massif,اونچے پهاڑوں کا سلسله
massiness,وزن ـ بھاري پن
massing,وزني
massive,وزني ـ بھاري ـ گراں
massiveness,بھاري پن
massy,جسيم ـ گراں ـ تھوس
mast,منتول ـ شهتير ـ شاه بلوط کا پھل
master,حاکم ـ آقا ـ سر کرنا ـ غالب آنا ـ قابو ميں پانا
masterful,استاد ـ خود سر
masterkey,ايسي کنجي جو بهت سے قفلوں ميں لگ جائے
masterliness,کمال ـ مهارت ـ استادي
masterly,ماهرانه ـ استادانه
mastermind,افضل ترين شخص
masterpiece,شهکار
mastership,مهارت ـ استادي ـ معلمي
masterwork,اچھا کام
mastery,قبضه ـ دخل ـ حکومت ـ حاکمي
mastic,مصطگي کا درخت
masticate,چابانا ـ خوب چبا کر کھانا
mastication,دانتوں کا عمل ـ چبائي
mastiff,ايک قسم کا بڑا کتا
mastodon,هاتھي کي قسم کا ايک بڑا جانور جو اب معدوم هے
masturbate,مشت زني کرنا ـ جلق لگانا
masturbation,مشت زني ـ جلق
masturbator,مشت زني کرنے والا
mat,چتائي ـ فرش
matador,سانڈ لے لڑنے والا
match,ٹکر کا شخص ـ مد مقابل ـ مقابله کا کھيل ـ برابر کا هونا ـ شادي کرانا ـ ٹکر کا هونا
matchable,مقابله کرنے کے قابل
matcher,مقابله کرنے والا
matchless,انوکھا ـ لاثاني ـ لاجواب
matchlock,توڑے دار بندوق
mate,شادي کرنا ـ هم صحبت هونا ـ مياں بيوي کا هم بستر هونا ـ ساتھي
mater,ماں ـ اماں ـ اماں جان ـ مسن عورت
material,مادي ـ جسماني ـ هيولائي ـ اهم ـ سامان ـ مواد
materialism,ماديت ـ ماده پرستي
materialist,ماده پرست
materialistic,دهري ـ ماده پرستانه
materiality,ماديت ـ جسمانيت
materialization,ظاهر هونا ـ واقع هونا
materialize,جسماني بنانا ـ تشکيل کرنا ـ ظهور ميں لانا
materially,مادي حالت سے
maternal,ماں کا ـ مادرانه ـ ماں کي طرف کا ـ ننھيال کا
maternity,ماں هونا ـ ماں بننا ـ زچگي
mathematic,علم رياضي
mathematical,علم رياضي کي رو سے
mathematician,رياضي دان
matin,صبح کي نماز اور تسبيح خواني ـ پرندوں کا چهچهانا
matinee,سه پهر کا تماشا
matrass,قرنبيق ـ بھبکا
matriarch,هو عورت جو قبيله ميں سردار کي هم رتبه هو ـ قالب ـ سانچه
matrices,بچه داني ـ رحم مادر ـ قالب
matricide,ماں کو مار ڈالنا ـ مادر کشي
matriculant,مدرسه ميں داخل هونے والا
matriculate,مدرسه ميں داخل کرنا ـ کالچ کي فهرست ميں نام لکھنا
matriculation,داخله جامعه
matrimonial,مياں بيوي کا ـ ازدواجي
matrimony,بياه ـ نکاح ـ ازدواج ـ شادي
matrix,بچه داني ـ رحم مادر ـ سانچه
matron,بياهي عورت
matronage,جماعت منتظمات
matronship,منتظمه کا کام
mattamore,تل گھر ـ تهه خانه
matter,ماده ـ جوهري ماده ـ اصل ـ مغز ـ منشا ـ مطلب ـ معني ـ ضروري هونا ـ اهم هونا ـ پيپ پڑنا
mattery,مواد سے پر
matting,بوريا ـ چٹائي
mattock,ايک قسم کي کدالي
mattold,غير معمولي ذهانت مگر خراب دماغ آدمي ـ سنکي
mattress,گدا ـ توشک
maturate,مواد کا آنا
maturation,پھوڑے کا پک جانا ـ پھوڑے ميں پورا مواد آجانا ـ پھل کا پک جانا
mature,پکنا ـ تيار کرنا ـ مکمل هونا ـ بالغ هونا
matureness,تيار هونا ـ پختگي
maturer,مکمل کرنے والا
maturity,بلوغ ـ پختگي
matutinal,صبح کا ـ سويرے کا ـ صبح گاهي
maud,سکاٹ لينڈ کے چرواهوں کي دھاري دار چادر ـ اسي رنگ کا سفري بستر بند
maudlin,مد هوشي کي رقت ـ رونا
maul,سخت زد و کوب کرنا ـ زخمي کر دينا ـ گھن ـ موگري ـ خراب کر دينا
mauler,زد و کوب کرنے والا ـ خرابي کرنے والا
maulstick,وه چھڑي جسے مصور بائيں هاتھ ميں توازن قائم رکھنے کے ليے پکڑتا هے
maund,ايک من ـ پکا من چاليس سير کا ـ ٹوکري
maunder,کھويا کھويا رهنا ـ بے جوڑ باتيں کهنا
maunderer,کھويا کھويا رهنے والا
maundy,جمعرات کو غريبوں ميں خيرات بانٹنے کي رسم
mausoleum,قبر کا گنبد
mauve,چمکدار رنگ
maw,پوٹا ـ معده
mawkish,ناگوار ـ بد بودار ـ رقت پيدا کرنے والا
mawkishness,ناگواري ـ رقت
maxilla,جبڑے کي بالائي هڈي
maxillary,جبڑے کي هڈي کي
maxim,اصول ـ مقوله ـ کهاوت
maximation,مبالغه کرنا ـ انتهائي حد تک پهنچنا
maximization,بهت بڑھا دينا
maximize,بڑھا چڑھا کر دکھانا
maximizer,بڑھاچڑھا کر دکھانے والا
maximum,آخري حد ـ زياده سے زياده
may,ممکن هونا ـ اختيار هونا ـ خدا کرے ـ مئي کا مهينه
maya,دنيا کي نعمتيں ـ فريب زندگي ـ فريب نظر
mayday,بہار کے آغاز کا دن ۔ رقص و سرود کا دن ۔
mayhap,شايد ـ غالبا
mayor,مير بلديه
mayoral,صدر بلديه کے متعلق
mayoralty,مثير کا زمانه خدمت
mayoress,صدر بلديه کي بيوي
mayorship,صدر بلديه کا عهده
mazdaism,زرتشتي مذهب ـ زرتشتيت
maze,بھول بھلياں ـ پيچ در پيچ راستے ـ حيران کر دينا ـ گھبرا دينا
mazer,حيران کر دينے والا
maziness,چکر دار هونا
mazy,الجھا هوا ـ چکر دار
me,مجھے ـ مجھکو
mead,شهد اور پاني کي شراب ـ شهد شربت
meadow,چراگاه
meadowy,سبزه زار کي طرح
meager,لاغر ـ حقير
meagerness,کمي ـ لاغري
meal,غذا ـ طعام کھانے کا وقت
mealiness,پيلا پن ـ چرب زباني
mealy,آٹے جيسا ـ سوکھا ـ بھربھرا
mean,جاهنا ـ مدنظر رکھنا ـ دل ميں رکھنا ـ مطلب هونا ـ حقير ـ ذليل
meander,گھماؤ ـ چکر ـ موز ـ ادھر ادھر پھرنا
meaning,پر معني ـ پر مطلب ـ معني خيز
meaningful,بامعني
meanwhile,اسي اثنائ
measle,ايک قسم کي چھوٹي چيچک
measly,کھسرے کا
measurable,قابل پيمائش
measure,اندازه کرنا ـ پيمائش کرنا ـ تولنا ـ تقسيم کرنا ـ طاقت آزمانا
measured,نپا هوا ـ تلا هوا ـ اندازه کيا هوا
measurement,اندازه ـ پيمائش
measurer,اندازه کرنے والا ـ پيمائش کرنے والا
meat,گوشت
meaty,پر گوشت ـ بھربھرا
mecca,بيت اﷲ ـ مکه معظمه
mechanic,کاريگر ـ دست کاري ـ هنر مندي
mechanical,کلوں کے متعلق
mechanically,مشين کي طرح
mechanician,مشين بنانے والا ـ مشين ساز
mechanism,کلوں کے متعلق ـ ميکاني
mechanist,مشين ساز
mechanization,مشين کي طرح بنا دينا
mechanize,مشينوں سے هر طرح کا کام لينا ـ مکانيکي بنا دينا
medal,تمغه ـ امتيازي نشان ـ سکه
medalist,تمغه يافته شخص
medallion,بڑا تمغه ـ کوئي تمغه نما چيز
meddle,دخل دينا ـ دست اندازي کرنا ـ مداخلت کرنا
meddler,بلاوجه مداخلت کرنے والا
meddlesome,فسادي ـ مداخلت کرنے والا
meddlesomeness,فساد کرنے کا شوق ـ دخل دينے کي عادت
medgrim,درد شقيقه ـ آدھے سر کا درد ـ آدھا سيسي درد
mediaeval,چھٹي صدي سے پندرھويں صدي تک کا ـ قرون وسطي کا
mediaevalism,قرون وسطي کے عام عقائد
mediaevalist,قرون وسطي کے نظام و معاشرت کا محقق
mediaevalize,زمانه حال کو قرون وسطي کے رنگ ميں رنگنا
medial,درمياني ـ وسطي
median,درمياني
