n ,انگريزي حروف تھجي کا چودھواں حرف
nab ,موقع واردات پر گرفتار کرناـ  پکڑلينا ـ گھير لينا
nabob ,صوبه کاحاکم ـ نواب ـ رئيس
nabobery ,نوابي
nabobism ,عيش پرست شخص
nacarat ,شوخ تاريخي سرخ رنگ
nacelle ,هوائي جھاز کا جھولا
nadir ,سمت الرجل ـ هستي کي انتها
nag ,پيچھے پڑنا ـ هر وقت عيب جوئي کرتے رهنا
nagging ,عيب جوئي
naiad ,سمندر کي پري ـ جل پري
nail ,ناخن ـ کيل ـ کانٹا
nailer ,کيليں بنانے والا
nailery ,کيليںاور ميخيں بنانے کا کارخانه
naive ,ساده لوح ـ صاف باطن
naively ,سادگي سے
naivety ,ساده لوحي ـ سادگي
naked ,ننگا ـ عرياں ـ برهنه ـ ظاهر ـ آشکار ـ کھلا هوا ـ صاف صاف ـ بے سازو سامان ـ بے شجرـ خالي ـ آرائش
nakeder ,ننگا کرنے والا ـ عرياں کرنے والا
nakedly ,واضح طور پر ـ صاف صاف
nakedness ,پوست کنده هونا ـ بے پردگي ـ برهنگي
namable ,عرفيت کے قابل
nambypamby ,مرصبع ـ بے لطف عبارت
name ,نام ـ اسم ـ عرفيت ـ لقب ـ کنيت ـ تخلص ـ خاندانـ آبرو
nameable ,نام رکھنے کے قابل ـ نامزد کرنے کے قابل ـ بيان کرنے کے قابل
nameless ,بے نام ـ بے ذکر
namely ,يعني ـ مثلاَ
namer ,نام لينے والا
nankeen ,نانکين ـ ايک قسم کا زردي مائل سوتي کپڑا
nanny ,بکري ـ بچه کي دايه
nap ,آنکھ لگنا ـ اونگھنا ـ هلکي نيند
napalm ,پيٹرول کي جيلي
nape ,گردن پچھلا حصه ـ منکا ـ گدي ـ قفا
napery ,دستر خواني ـ ميز پوشي
naphtha ,آتش گير تيل
naphthalene ,نفطي ماده جو رنگوں ميں استعمال هوتا هے ـ نفظين
naphthalize ,نفظي گولياں رکھ کر يا تيل رکھ کر جراثيم سے پاک کرنا
napkin ,ميز کا رومال ـ دست مال
napoleon ,فرانس کا مشهور بادشاه
napoleonic ,نپولين کے متعلق
napoo ,ارے غائب هوگيا ـ ارے گيا ـ ختم
nappy ,بچے کا رومال
napu ,جاوا ـ سماٹرا کا مشکي هرن
narcissism ,خود پرستي ـ وجوديت
narcissist ,خود پرست
narcissus ,نر گس
narcolepsy ,ايک مريض جس ميں نيم خوابي کے دورے پڑتے هيں ـ خوابي دورے
narcosis ,سن هوجانا ـ بے حس هوجانا
narcotic ,نشه آور ـ خواب آور دوا
narcotization ,بے حس ـ غشي
narcotize ,بے حس کرنا ـ غنودگي طاري کرنا
nard ,ايک پودا جس سے خوشبودار روغن نکلتا هے
nark ,جاسوس
narrate ,روايت کرنا ـ بيان کرنا ـ نقل کرنا ـ تذکره کرنا
narrater ,بيان کرنے والا
narrating ,بيان
narration ,بيان ـ تذکره ـ حکايت
narrative ,کهاني ـ تذکره
narrator ,بيان کرنے والا
narrow ,رنگ ـ کم چوڑا ـ کم حوصله ـ کم ظرف ـ کم کر دينا
narrower ,کم کر دينے والا
narrowish ,کسي قدر تنگ
narrowminded ,کم ظرف ـ اوچھا ـ متعصب
narwal ,ايک سينگ والي مچھلي
narwhal ,ايک سينگ والي مچھلي
nasal ,ناک کا ـ ناک سے ادا هونے والا لفظ
nasalisation ,حرف کو ناک سے ادا کرنا
nasalise ,غنه بنانا
nascent ,پيدا هونے والا ـ ابھرتا هوا
nastiness ,گھناؤ پن ـ آلودگي
nasty ,غليظ ـ گندا
natal ,پيدائشي ـ مادر ذات ـ جنم کا
natality ,شرح پيدائش
natation ,شناوري ـ تيراکي
natatorial ,تيرتا هواـ تيرنے والا ـ تيرا کي کے متعلق
nation ,قوم ـ ملت
national ,هم قوم لوگ ـ هم قوم افراد ـ وطن دوست
nationalism ,ملت پروري ـ قوم پروري ـ قومي آذادي
nationalist ,قوميت کا حامي
nationality ,قومي رنگ ـ قومي صفات ـ قشم ـ نسل ـ قومي جوش
nationalization ,سخصي املاک کو قومي بنانا
nationalize ,قوم ميں داخل کرنا ـ قومي بنانا
nationally ,قومي طور پر
nationhood ,قوميت
nationless ,بے قوم
native ,ديسي ـ ملکي ـ وطني ـ پيدائشي ـ باشنده رهنے والا ـ رهنيوالا ـ ذاتي ـ فطري ـ خالص
nativity ,ميلاد مسيح ـ ميلاد مريم ـ ميلاد يوحنا
natron ,خام شوره
natterjack ,زده دھاريوں والا برطانوي مينڈک
nattiness ,چابک دستي
natty ,چابک دست ـ هوشيار ـ صاف ـ ستھرا
natural ,طبعي ـ قدرتي ـ ذاتي
naturalism ,طبعي حالت ـ طبعي اخلاق يا مذهب
naturalist ,علم طبيعات کا ماهر
naturalization ,قوم ميںداخل کرنا
naturalize ,ديسي ها ملکي بنانا ـ کسي غير ملکي کو حقوق قوميت ادا کرنا ـ قوم ميں داخل کرنا
naturally ,قدرتي طور پر
naturalness ,حقيقي پن ـ قدرتي پن ـ بے ساختگي
nature ,ترکيب ـ ساخت ـ فطرت ـقسم ـ ڈھنگ ـ فطري صفات
naught ,کچھ نهيں ـ لاشے ـ صفر ـ ناچيز
naughtiness ,شوخي ـ شرارت
naughty ,شرير ـ بيهوده
nausea ,متلي ـ طبيعت کي مالش
nauseate ,جي متلانا ـ کھانے سے کراهت هونا ـ متلي هونا ـ قے آنا
nauseating ,متلي پيدا کرنے والي
nauseous ,قے آور ـ متلي پيدا کرنے والي
nautch ,ناچ ـ طوائف کا ناچ
nautical ,جھاز راني کے متعلق
naval ,جھازي ـ بحري ـ سمندري
navigable ,جھاز راني کے قابل ـ قابل پرواز
navigably ,جھاز راني
navigate ,جھاز چلانا ـ بحري سفر کرنا
navigation ,جھاز راني ـ بحري سفري
navigator ,جھاز ران
navvy ,کھدائي کرنے والا مزدور
navy ,جنگي جھازوں کا بيڑا ـ بحريه ـ بحري طاقت
navyblue ,گھرے نيلے رنگ کا
nawab ,نواب ـ تعلقدار ـ عهده دار
nay ,نهيں  بالکل نهيں
nazarene ,نصراني ـ عيسائي
nazarite ,نزراتھ کا باشنده
naze ,خاکنائے ـ خشکي کا وه حصه جو دور تک پاني ميں چلاگيا هو
neal ,تپانا ـ تاؤدينا
neap ,چاند کي ساتويں يا تئيسويں تاريخ کي مدـ هلکي مد
near ,پاس ـ نزديک ـ فريب
nearer ,قريب ترين
nearest ,سب سے قريب
nearish ,کسي قدرے قريب
nearly ,قريب قريب
nearness ,قربت
nearsighted ,جس کي دور کي نظر خراب هو
neat ,پاک ـ صاف ـ ستھرا ـ نفيسـ خوش طبع
neatness ,صفائي ـ نفاست
neb ,نوک ـ ناک ـ چونچ
nebula ,آنکھ کا جالا ـ ستارون کا گچھا
nebular ,سديمي ـ ستاروں کا
nebulous ,سديمي ـ دھندلا
necessarian ,قائل تقدير ـ جبر و تقدير کا قائل
necessaries ,ضروريات ـ لوازم حيات ـ ساز و سامان
necessarily ,لازمي طور پر
necessary ,ضروري ـ لازمي
necessitarian ,عقيده جبر و قدر کا قائل ـ جبريه
necessitate ,ضروري بنانا ـ لازمي کرنا
necessitous ,محتاج ـ حاجت مند
necessity ,ضرورت ـ حاجت
neck ,گردن ـ تنگ راسته
necklace ,هار ـ گوبند
necklet ,گلے کا زيور ـ سمور کا گلو بند
necrology ,رجسٹر مرحومين
necromancer ,جادوگر
necromancy ,جادو گري
necropolis ,قبرستان
necrosis ,هڈي کا گل جانا
nectar ,آب حيات ـ آب حيوان ـ ديوتاؤ کا مشروب
nectarine ,ايک قسم کي شيريں ناخ
nectary ,پودوں يا پھولوں کا وه حصه جس ميں رس هوتا هے
neddy ,گدھا
nee ,بنت ـ شادي سے پهلے عورت کے پيدائشي نام کو ظاهر کرتا هے
need ,احتياج ـ حاجت مندي ـ ضرورت ـ غرض
needed ,ضرورت مند
needful ,لازم ـ واجب  ـ ضروري
needfulness ,مفلسي ـ تنگ دستي
neediness ,حاجت مندي ـ تنگ دستي
needle ,سوئي ـ سوا
needless ,غير ضروري ـ بيکار ـ بے فائده
needments ,ضرورت کي چيزيں ـ ضروريات سفر
needs ,حاشا وکلا ـ هر گز نهيں
needy ,شکسته حال ـ تنگ دست ـ حاجت مند
nefarious ,شوير ـ فاسد ـ بد معاش
nefariously ,بد معاشي
negate ,انکار کرنا ـ ترديد کرنا
negater ,انکار کرنے والا ـ ترديد کرنے والا
negation ,ترديد ـ نفي ـ انکار
negationist ,وه شخص جو مسلمه عقائد سے انکار کرے اور دوسرے عقائد پيش نه کرے
negative ,حرف نفي ـ ترديد بياني ـ انکار کرنا ـ نامنظوري کرنا
negatively ,منگي کرتے هوئے
negativeness ,انکاره هونا ـ ترديدي هونا
negativism ,مذهب کا انکار
negator ,انکار کرنے والا ۔ نفی کرنیوالا ۔
neglect ,خيال نه کرنا ـ غفلت کرنا
neglecter ,خيال نه کرنے والا ـ غفلت برتنے والا
neglectful ,غافل ـ کاهل
neglectfully ,غفلت سے
neglectfulness ,غفلت شعاري
neglecting ,غفلت
neglectingly ,غفلت کرتے هوئے
neglector ,غفلت برتنے والا
negligee ,ناقابل لحاظ ـ ڈھيلا ڈھالا ـ بے تکللف لباس
negligence ,بے پروائي ـ بے توجھي
negligent ,بے پروا ـ غافل
negligently ,غفلت سے
negligible ,نظر انداز کرنے کے قابل
negotialble ,قابل گفت و شنید ۔
negotiate ,معامله کرنا ـ مصالحت کي گفتگو کرنا ـ گفت و شنيد کرنا
negotiation ,تبادلانه خيال
negotiator ,معامله کرنے والا ـ گفت و شنيد کرنے والا
negress ,حبشن
negrillo ,پست قامت حبشي
negro ,حبشي
negroid ,حبشيوں جيسا
negrophil ,حبشي پسند شخص ـ حبشيوں کو دوست رکھنے والا
negus ,فرمانر وائے حبشه
nehru ,نهرو
neigh ,پنهنانا
neighbor ,پڑوسي
neighborhood ,پڑوسي کے لوگ ـ قرب و جوار
neighboring ,قريب کا
neighborliness ,پڑوسي کے ساتھ دوستانه سلوک کرنا
neighborly ,شفيق ـ ملنسار
neither ,کوئي بھي نهيں ـ نه يه نه وه
nek ,گھائي ـ وادي
nemesis ,بد اعمالي کي سزا ـ انتقام الهي
nenupher ,گل نيلوفر ـ کنول
neolithic ,آخري دور حجري کا ـ پتھر کے زمانے کا
neologian ,الهيات ميں معقوليت پسند انسان ـ اجتهادي
neologism ,ديني عقائد ميں عقليا ت کا دخل ـ معقوليت
neologist ,اجتهاد کرنے والا
neologize ,نئے الفاظ اور نئے عقيدے مذهب ميں داخل هونا
neon ,نين ايک نئي گيس
neophyte ,مذهب تبديل کرنيوالا ـ نو مريد
neoteric ,جديد ـ نيا
nepenthe ,ايسي دوا جو غموں کو بھلا ديتي هے ـ غم فراموشي
nephalism ,شراب نويسي قطعي پرهيز
nepheloid ,ابر آلود ـ غبار آلود
nephew ,بھتيجا ـ بھانجا
nephology ,بادلوںکا علم ـ علم سحاب
nephralgia ,گردوں کے فعل کا مطالعه
nephritic ,گردوں کے متعلق
nephritis ,ورم گرده
nepotism ,اقربا پروري ـ خويش نوازي
nepotist ,عزيز نواز ـ اقربا پرور
neptune ,نيبتون سياره
nereid ,ساگر ديوتا ـ خيالي مخلوق جو نصف اور نصف سمندري گھوڑے پر سوار هے ـ جل ديوي
nero ,ظالم ـ بے رحم
neroli ,روغن نارنج ـ نارنگي کا تيل
neronian ,نيرو صفت ـ نيرو کي مانند
nervate ,رگوں والا
nerve ,رگ ـ نس ـ پٹھا ـ زور ـ بل
nerveless ,کمزور ۔ ناتواں ۔
nervine ,اعصابي کمزوري کي دوا
nervous ,اعصابي ـ پٹھوں کا ـ طاقت ور ـ بے چين
nervously ,گھبراهٹ کے ساتھ
nervousness ,گھبراهٹ
nervy ,مضبوط ـ قوي ـ نڈر ـ بيچينـ هيبت ناک
nescient ,بے علم ـ نادان ـ جاهل
ness ,راس ـ خاکنائے
nest ,آشيانه ـ گھونسلا ـ گھر
nestle ,گھونسلا ميں آرام سے رهنا
nestling ,بے بال و پر بچه ـ پرنده کا بچه جو ابھي اڑ نه سکے
nestor ,پير دانشمند ـ بزرگ
net ,جال ـ دام ـ جال دار چيز
nether ,نيچے کا ـ زيريں
netherlands ,نيدر لينڈ
nethermost ,سب سے نيچے کا
netherward ,نيچے کي طرف
netless ,بے جال
netlike ,جال کي طرح
netsuke ,ايک يوتام نما زيور
nett ,خالص
netted ,جال ميں پھنسا هوا
nettle ,بچھو بوئي کي جھاڑي ـ خار دار جھاڑيوں والا پودا
network ,جالي کا کام ـ جال
neural ,عصبي ـ اعصابي
neuralgia ,اعصابي درد
neurotic ,خلل اعصان کا مريض
neuter ,نه مذکر نه مؤنث ـ بے جنس ـ الگ ـ عاقر ـ خصي جانور
neutral ,غير جانب دار ـ بے تعلق
neutrality ,بے تعلقي ـ عليحدگي ـ غير جانب داري
neutralization ,بے اثر کر دينا ـ عرصه جنگ سے باهر قرار دينا
neutralize ,غير جانب دار بنا دينا ـ بے اثر کر دينا
neutralizer ,غير جانب دار بنانے والا
never ,کبھي نهيں ـ بالکل نهيں ـ يه ممکن نهيں
nevertheless ,اسکے باوجود ـ اسکے بعد بھي
new ,نو ـ نيا ـ تازه ـ نراله
newcomer ,نو وارد
newel ,چکر دار زينے کا مرکزي کھمبا
newfangled ,نئي چيزوں کا شوقين ـ ندارت پسند
newfashioned ,نئي وضع کا ـ نئي طرز کا
newgate ,لندن کا مشهور جيل خانه
newish ,کسي قدرے نيا ـ قدرے نيا
newly ,ابھي حال ميں ـ تھوڑے دن هوئے ـ از سر نو
newness ,نو واقفيت ـ تازگي ـ جدت
news ,تازه خبر ـ نئي خبر ـ خبريں
newsagent ,اخبار فروش
newsboy ,اخبار والا لڑکا
newscast ,خبريں دينا
newscaster ,خبريں دينے والا
newsman ,اخبار والا
newsmen ,اخبار والے
newsmonger ,بے پر کي اڑنے والا ـ گپ باز
newspaper ,اخبار
newspaperman ,اخبار والا
newspapermen ,اخبار والے
newspaperwoman ,اخبار والي
newsprint ,خبريں چھاپنا
newsrooms ,خبروں کا کمره
newsy ,خبروں سے بھرا
newt ,ايک قسم کا سمندري جانور
newtonian ,نيوٹن کا هيرو
next ,قريب ـ متصل ـ دوسراـ برابر کا
nextdoor ,دوسرا دروازه
nexttonothing ,کچھ بھي نهيں
nexus ,علاقه ـ رشته ـ تعلق
niagara ,آبشار ـ سيلاب ـ شور ـ غل
nib ,نب ـ چونچ نوک ـ قلم بنانا ـ نب لگانا
nibble ,کترنا ـ کاٹنا ـ عيب جوئي کرنا
nibbler ,عيب جوئي کرنے والا
niblefooted ,تيز رو ـ تيز قدم
niblick ,گلف کا چوگان جس کي شام وزني هو
nice ,عمده ـ نفيس ـلذيذ ـ خوش ذائقه ـ خوش اخلاقي
nicely ,عمدگي سے
niceness ,لظافت ـ نزاکت
nicety ,غير معمولي ـ چھان بين ـ احتياط ـ باريکي
niche ,طاق ـ جھروکا ـ طاق ميں مجسمه رکھنا
niched ,طاق ميں رکھا هوا
nicish ,نفيس سا ـ نازک سا
nick ,نشان لگانا ـ تاڑ لينا ـ گرفتار کرنا ـ داؤ کرنا
nickel ,ايک قسم کي سفيد دھات
nickelsilver ,ايک سفيد دھات
nicker ,اچکا ـ جو کھڑکي توڑ کر کوئي چيز چرالے
nicknack ,چھوٹي چيزيں
nickname ,عرفي نام ـ کوئي نا م رکھ لينا
nicotian ,تمبا کو کے متعلق
nicotine ,تمباکو کا زهر
nictate ,آنکھ جھپکنا ـ آنکھيں کھولنا اور بند کرنا
nictation ,آنکھ کي جھپک
nicy ,بچوں کي زبا ن ميں چيزـ مٹھائي
nid ,بزدل انسان ـ ڈرپوک ـ کمينه
nide ,ولائتي تيتر کے بچوں کا جھول
nidificate ,گھونسلا بنانا ـ بچے دينا ـ آشيانه بنانا
nidus ,کيڑے مکوڑے کے انڈے دينے کي جگه
niece ,بھانجي ـ بھتيجي
niello ,سياه مساله جو چاندي يا کسي دھات کے نقوش کے اندر بھرا جاتا هے
nigeria ,نائجيريا
nigerian ,نائجرئين
niggard ,کنجوس آدمي ـ بخيل
niggardliness ,تنگ دلي ـ کنجوس
niggardly ,تنگ دل
nigger ,زنگي ـ حبشي
niggle ,معمولي باتوں پر وقت ضائع کرنا
niggler ,چھوٹي چھوٹي باتوں ميں وقت ضائع کرنے والا
niggling ,چھوٹي ـ گھٹيا ـ غير اهم
nigh ,نزديک ـ قريب ـ پاس
night ,رات ـ شب
nightbird ,چمگاڈر
nightblindness ,رتوندھا
nightbrawler ,رات کو جھگڑا کرنے والا
nightcap ,رات کو پهننے کي ٹوپي
nightcart ,غلاظت اٹھانے کي گاڑي
nightclothes ,رات کو پهننے کے کپڑے
nightclub ,نائٹ کلب
nightdress ,رات کا لباس
nightfall ,آغاز شب ـ شام
nightfaring ,رات کا مسافر
nightfire ,چھلاوا
nightfly ,جگنو
nightfoundered ,رات ميں کھو جانے والا
nightglass ,رات کي دوربين
nightgown ,رات کا لباده
nighthag ,چڑيل
